original_id,new_id,name,type
0,0,Bilberry,Food_Source
1,1,Caffeine,Food Bioactive
2,2,Calcium,Dietary Nutrient
3,3,Chamomile,Food_Source
4,4,Cheese,Food_Source
5,5,Coffee,Food_Source
6,6,Dairy,Food_Source
7,7,Danshen Compound,Food_Source
8,8,Echinacea,Food_Source
9,9,Fat,Compound_Group
10,10,Fiber,Compound_Group
11,11,Folic Acid,Food Bioactive
12,12,Garlic Bulb,Food_Source
13,13,Ginger,Food_Source
14,14,Ginkgo Biloba,Food_Source
15,15,Ginseng,Food_Source
16,16,Grapefruit,Food_Source
17,17,Green Tea,Food_Source
18,18,Iron,Dietary Nutrient
19,19,Licorice Extract,Compound_Group
20,20,Magnesium,Dietary Nutrient
21,21,Milk,Food_Source
23,22,Potassium,Dietary Nutrient
24,23,Protein,Compound_Group
25,24,Salt,Food_Source
26,25,Sodium,Dietary Nutrient
27,26,Vitamin B Complex,Dietary Nutrient
28,27,Vitamin C,Dietary Nutrient
29,28,Vitamin D,Dietary Nutrient
30,29,Vitamin E,Dietary Nutrient
31,30,Vitamin K2,Dietary Nutrient
32,31,Zinc,Dietary Nutrient
33,32,Carvone,Food Bioactive
34,33,Acetic Acid,Food Bioactive
35,34,Acorn,Food_Source
36,35,Shi Chang Pu,Food_Source
37,36,Bael Fruit,Food_Source
38,37,Agave,Food_Source
39,38,Alaska Pollock,Food_Source
40,39,Ale,Food_Source
41,40,Gracilaria Seaweed,Food_Source
42,41,Amaranth,Food_Source
43,42,Amlaki,Food_Source
44,43,Dill,Food_Source
45,44,Angelica Dahurica,Food_Source
46,45,Angelica Keiskei,Food_Source
47,46,Anise Myrtle,Food_Source
48,47,Anthocyanins,Compound_Group
49,48,Groundnut,Food_Source
50,49,Apple,Food_Source
51,50,Apple Condensed Tannin,Compound_Group
53,51,Araceae,Food_Source
54,52,Bearberry,Food_Source
55,53,Black Chokeberry,Food_Source
56,54,Ashwagandha,Food_Source
57,55,Asparagus,Food_Source
58,56,Auraptene,Food Bioactive
59,57,Neem,Food_Source
60,58,Desert Date,Food_Source
61,59,Banana,Food_Source
62,60,Beef Tallow,Food_Source
63,61,Beer,Food_Source
64,62,Berberine,Food Bioactive
65,63,Bergamot,Food_Source
67,64,Blackcurrant,Food_Source
68,65,Blueberry,Food_Source
69,66,Blueberry Anthocyanins-Enriched Extract,Compound_Group
70,67,Fingerroot,Food_Source
71,68,Brassica Sprout,Food_Source
72,69,Broccoli,Food_Source
73,70,Brown Algae,Food_Source
74,71,Brussels Sprouts,Food_Source
75,72,Buckwheat Protein Extract,Compound_Group
76,73,Budo-No-Megumi,Food_Source
77,74,C-Phycocyanin,Compound_Group
78,75,Cirsium Chanroenicum,Food Bioactive
79,76,Cinnamon,Food_Source
80,77,Caffeic Acid,Food Bioactive
81,78,Pigeonpea,Food_Source
82,79,Canola,Food_Source
83,80,Capsaicin,Food Bioactive
84,81,Carrageenan,Compound_Group
85,82,Carrots,Food_Source
86,83,Castor,Food_Source
87,84,Celery,Food_Source
88,85,Chelerythrine,Food Bioactive
89,86,Chelidonine,Food Bioactive
90,87,Chenopodium,Food Bioactive
91,88,Cherries,Food_Source
92,89,Chicken,Food_Source
93,90,Chinese Parsley,Food_Source
94,91,Chitosan,Compound_Group
95,92,Chuan Lian,Food_Source
96,93,Chicory,Food_Source
97,94,Thistle,Food Bioactive
98,95,Watermelon,Food_Source
99,96,Citrus Juices,Food_Source
100,97,Citrus Leaf Extract,Compound_Group
101,98,Citrus Reticulate,Food_Source
103,99,Cnidium,Food_Source
104,100,Cocoa,Food_Source
105,101,Coconut,Food_Source
106,102,Coconut Flower Sap,Food Bioactive
107,103,Codliver,Food_Source
108,104,Coenzyme Q10,Food_Source
109,105,Cola,Food_Source
110,106,Combretaceae,Food_Source
111,107,Common Sage,Food Bioactive
112,108,Common Valerian,Food Bioactive
113,109,Compositae,Food_Source
114,110,Cone Flower,Food Bioactive
115,111,Cordyceps,Food_Source
116,112,Coriandrum Sativum L. Seed Extract,Compound_Group
117,113,Corilagin,Food Bioactive
118,114,Corn Oil,Food_Source
119,115,Corni,Food Bioactive
120,116,Cottonseed,Food_Source
121,117,Cranberries,Food_Source
122,118,Crataegi,Food Bioactive
123,119,Crataegus,Food Bioactive
124,120,Cucumis Melo,Food Bioactive
125,121,Cucurbita Andreana,Food Bioactive
126,122,Curcuminoids,Compound_Group
127,123,Cuscutae,Food_Source
128,124,Cyanidin,Food Bioactive
129,125,Cyperus Rotundus,Food Bioactive
130,126,D. Edulis,Food Bioactive
131,127,Proprietary Korean Herbal Formula,Compound_Group
132,128,Daidzein,Food Bioactive
133,129,Daikon,Food_Source
134,130,Dairy Product,Food_Source
135,131,Dairy Product Fermented By Lactobacilli,Food_Source
136,132,Damnacanthal,Food Bioactive
137,133,Danggui,Food_Source
138,134,Daucus Carota,Food Bioactive
139,135,Dehydroepiandrosterone,Food Bioactive
140,136,Delphinidin,Food Bioactive
141,137,Dengzhan Shengmai Formula,Compound_Group
142,138,Dioscin,Food Bioactive
143,139,Dioscorea,Food_Source
144,140,Dioscorea Nipponica Makino,Food Bioactive
145,141,Dioscoreae Rhizoma,Food Bioactive
146,142,Equisetum Arvense L,Food_Source
147,143,Eucalyptus Microcorys Extract,Compound_Group
148,144,Evodia Rutaecarpa,Food Bioactive
149,145,Falcarinol,Food Bioactive
150,146,Fava Bean,Food_Source
151,147,Foeniculum Vulgare,Food Bioactive
152,148,Fenugreek,Food_Source
153,149,Ff-D,Food Bioactive
154,150,Fish Flakes,Food_Source
155,151,Fish Flakes Supplemented With The Diatom Thalassiosira Weissflogii,Food Bioactive
156,152,Fish Oil,Food_Source
157,153,Folic,Food Bioactive
158,154,Folinic Acid,Food Bioactive
159,155,Folinic Acids,Food Bioactive
160,156,Fortified Oil,Food_Source
161,157,Fortified Wine,Food_Source
162,158,Fresh Palm Oil,Food_Source
163,159,Galactomannan,Compound_Group
164,160,Gallic Acid,Food Bioactive
165,161,Garcinia Kola,Food_Source
166,162,Garcinol,Food Bioactive
167,163,Garden Cress,Food_Source
168,164,Gegen,Food Bioactive
169,165,Ginger-Green Tea Mixture,Compound_Group
170,166,Ginsenoside Rg1,Food Bioactive
171,167,Protopanaxatriol (Pt) Ginsenosides,Compound_Group
172,168,Grape Seed,Food_Source
173,169,Groundnut Oils,Food_Source
174,170,Guineense Swartz,Food Bioactive
175,171,Guttiferae,Food Bioactive
176,172,Harpagophytum Procumbens Extract,Compound_Group
