drug_name,food_name,layer0_fired,layer0_rule,layer0_severity
levothyroxine,Phytic Acid,False,,
ciprofloxacin,Phytic Acid,False,,
digoxin,Phytic Acid,False,,
levothyroxine,Ferulic Acid,False,,
digoxin,Ferulic Acid,False,,
lisinopril,Allicin,False,,
warfarin,Allicin,False,,
phenytoin,Allicin,False,,
lisinopril,Capsaicin,False,,
warfarin,Capsaicin,False,,
theophylline,Phytic Acid,False,,
insulin,Amylopectin,False,,
metformin,Amylopectin,False,,
allopurinol,Amylopectin,False,,
insulin,Potassium,False,,
insulin,Cinnamaldehyde,False,,
metformin,Cinnamaldehyde,False,,
ramipril,Capsaicin,False,,
perindopril,Capsaicin,False,,
lithium,Na+,False,,
lithium,Allicin,False,,
saquinavir,Allicin,False,,
cyclosporine,Fat,False,,
diazepam,Fat,False,,
alprazolam,Fat,False,,
lorazepam,Fat,False,,
warfarin,Fat,False,,
allopurinol,Fat,False,,
cyclosporine,Allicin,False,,
orlistat,Allicin,False,,
insulin,Coumarin,False,,
metformin,Coumarin,False,,
insulin,Sucrose,False,,
insulin,Glucose,False,,
insulin,Butyric Acid,False,,
metformin,Butyric Acid,False,,
statins,Butyric Acid,False,,
tetracycline,Phytic Acid,False,,
tetracycline,Magnesium,False,,
doxycycline,Phytic Acid,False,,
doxycycline,Magnesium,False,,
duloxetine,Phytic Acid,False,,
duloxetine,Magnesium,False,,
metformin,Phytic Acid,False,,
metformin,Magnesium,False,,
ferrous sulfate anhydrous,Phytic Acid,False,,
ferrous sulfate anhydrous,Magnesium,False,,
ferrous sulfate,Phytic Acid,False,,
ferrous sulfate,Magnesium,False,,
ferrous gluconate,Phytic Acid,False,,
ferrous gluconate,Magnesium,False,,
ferrous fumarate,Phytic Acid,False,,
ferrous fumarate,Magnesium,False,,
ferrous sulfate anhydrous,Gallic Acid,False,,
ferrous sulfate,Gallic Acid,False,,
ferrous gluconate,Gallic Acid,False,,
ferrous fumarate,Gallic Acid,False,,
ca,Gallic Acid,False,,
zn,Gallic Acid,False,,
calcium carbonate,Gallic Acid,False,,
zinc sulfate,Gallic Acid,False,,
clozapine,Gallic Acid,False,,
theophylline,Gallic Acid,False,,
diazepam,Gallic Acid,False,,
alprazolam,Gallic Acid,False,,
lorazepam,Gallic Acid,False,,
propranolol,Gallic Acid,False,,
atenolol,Gallic Acid,False,,
bisoprolol,Gallic Acid,False,,
insulin,Gallic Acid,False,,
empagliflozin,Gallic Acid,False,,
dapagliflozin,Gallic Acid,False,,
canagliflozin,Gallic Acid,False,,
ferrous sulfate,Caffeine,False,,
ca,Caffeine,False,,
zn,Caffeine,False,,
calcium carbonate,Caffeine,False,,
zinc sulfate,Caffeine,False,,
bisoprolol,Caffeine,False,,
insulin,Caffeine,False,,
empagliflozin,Caffeine,False,,
dapagliflozin,Caffeine,False,,
canagliflozin,Caffeine,False,,
ferrous sulfate anhydrous,Saponins,False,,
ferrous sulfate,Saponins,False,,
ferrous gluconate,Saponins,False,,
ferrous fumarate,Saponins,False,,
ca,Saponins,False,,
zn,Saponins,False,,
calcium carbonate,Saponins,False,,
zinc sulfate,Saponins,False,,
ciprofloxacin,Saponins,False,,
clozapine,Saponins,False,,
canagliflozin,Sucrose,False,,
glipizide,Quercetin,False,,
flurbiprofen,Quercetin,False,,
glipizide,Allicin,False,,
flurbiprofen,Allicin,False,,
lisinopril,Choline,False,,
enalapril,Choline,False,,
ramipril,Choline,False,,
captopril,Choline,False,,
perindopril,Choline,False,,
oxybutynin,Choline,False,,
ne,Choline,False,,
lisinopril,Oleuropein,False,,
amlodipine,Oleuropein,False,,
hydrochlorothiazide,Oleuropein,False,,
metoprolol,Oleuropein,False,,
losartan,Oleuropein,False,,
enalapril,Oleuropein,False,,
ramipril,Oleuropein,False,,
captopril,Oleuropein,False,,
perindopril,Oleuropein,False,,
cyclosporine,Oleuropein,False,,
simvastatin,Oleuropein,False,,
midazolam,Oleuropein,False,,
tacrolimus,Oleuropein,False,,
simvastatin,Allicin,False,,
midazolam,Allicin,False,,
tacrolimus,Allicin,False,,
tacrolimus,Amylopectin,False,,
insulin,Quercetin,False,,
levothyroxine,Curcumin,False,,
insulin,Curcumin,False,,
glipizide,Curcumin,False,,
flurbiprofen,Curcumin,False,,
digoxin,Allicin,False,,
prednisone,Vitamin K,False,,
digoxin,Vitamin K,False,,
diazepam,Vitamin K,False,,
alprazolam,Vitamin K,False,,
lorazepam,Vitamin K,False,,
statins,Amylopectin,False,,
cyclosporine,Amylopectin,False,,
simvastatin,Amylopectin,False,,
atorvastatin,Amylopectin,False,,
cyclosporine,Butyric Acid,False,,
simvastatin,Butyric Acid,False,,
atorvastatin,Butyric Acid,False,,
atropine,Butyric Acid,False,,
oxybutynin,Butyric Acid,False,,
ne,Butyric Acid,False,,
