drug_name,food_name,lgn_score,fusion_score_corrected,prob_tier,layer0_rule,layer0_tier
ferrous sulfate,Fat,0.4957,0.4956999999999999,MEDIUM,CHELATION_RISK,HIGH
levodopa,Fat,0.4546,0.4546,MEDIUM,CHELATION_RISK,HIGH
triamterene,Fat,0.3825,0.3825,LOW,CHELATION_RISK,HIGH
lisinopril,Soy Lecithin,0.4556,0.45559999999999995,MEDIUM,POTASSIUM_OVERLOAD,HIGH
captopril,Soy Lecithin,0.4852,0.4852000000000001,MEDIUM,POTASSIUM_OVERLOAD,HIGH
perindopril,Soy Lecithin,0.6806,0.6806,MEDIUM,POTASSIUM_OVERLOAD,HIGH
spironolactone,Soy Lecithin,0.3206,0.32060000000000005,LOW,CHELATION_RISK,HIGH
amiloride,Soy Lecithin,0.4078,0.4078,LOW,POTASSIUM_OVERLOAD,HIGH
triamterene,Soy Lecithin,0.2098,0.2098,LOW,CHELATION_RISK,HIGH
phenelzine,Soy Lecithin,0.691,0.691,MEDIUM,CHELATION_RISK,HIGH
