manual_food,source,compound,in_foodb_vocab,in_wrapper_for_this_food,in_manual_for_this_food
chakhchoukha,manual,purines,False,False,
guedid / kadid,manual,ages,False,False,
guedid / kadid,manual,na,False,False,
guedid / kadid,manual,tyramine,False,False,
osban / osbane,manual,purines,False,False,
osban / osbane,manual,triglycerides,False,False,
lahm lhalou,manual,butyric acid,False,False,
lahm lhalou,manual,sucrose glucose,False,False,
chorba frik / jari,manual,magnesium,False,False,
chorba frik / jari,manual,rosmarinicacid,False,False,
chorba frik / jari,manual,smoked roasted pahs,False,False,
chorba frik / jari,manual,soluble fiber,False,False,
atay,manual,sucrose glucose,False,False,
atay,manual,tannins,False,False,
dolma,manual,cucurbitacin,False,False,
dolma,manual,vitamin k,False,False,
trida (w: white sauce,manual,butyric acid,False,False,
trida (w: white sauce,manual,w amylopectin,False,False,
mesfouf,manual,butyric acid,False,False,
mesfouf,manual,sucrose fructose,False,False,
berkoukes,manual,amylose amylopectin,False,False,
mthawem / methoum,manual,purines,False,False,
mthawem / methoum,manual,saturated lipids,False,False,
bouzlouf/chtitha,manual,purines,False,False,
bouzlouf/chtitha,manual,s allicin,False,False,
doubara (biskria),manual,purines,False,False,
garantita/karentica,manual,non heme fe,False,False,
garantita/karentica,manual,plant protein,False,False,
garantita/karentica,manual,purines,False,False,
merguez,manual,heme iron,False,False,
merguez,manual,sat fats,False,False,
mederbel,manual,acetic acid,False,False,
mederbel,manual,lipidsponge,False,False,
mederbel,manual,purines,False,False,
harira,manual,purines,False,False,
adas,manual,non heme iron,False,False,
chorba bidha,manual,citric acid,False,False,
chorba bidha,manual,purines,False,False,
bourak jazairi,manual,large neutral amino acids,False,False,
bourak jazairi,manual,omega3,False,False,
bourak jazairi,manual,purines,False,False,
bourak jazairi,manual,saturated fats,False,False,
baklawa,manual,gelatinisedstarch,False,False,
baklawa,manual,honey,False,False,
baklawa,manual,laminatedgluten,False,False,
baklawa,manual,larginine,False,False,
baklawa,manual,omega3,False,False,
baklawa,manual,saturated fats,False,False,
makroud el-koucha,manual,butyric acid scfas,False,False,
tcharak (a=aryan/b=meskar),manual,larginine,False,False,
tcharak (a=aryan/b=meskar),manual,mg2,False,False,
tcharak (a=aryan/b=meskar),manual,protein,False,False,
tcharak (a=aryan/b=meskar),manual,shortcrust friablematrix,False,False,
tamina,manual,butter emulsion,False,False,
tamina,manual,pyrodextrins,False,False,
tamina,manual,sucrose icing sugar,False,False,
douwara / bakbouka,manual,gingerol,False,False,
douwara / bakbouka,manual,purines,False,False,
hommos,manual,nonhemeiron,False,False,
hommos,manual,olive oil,False,False,
hommos,manual,purines,False,False,
hommos,manual,sodium bicarbonate,False,False,
loubia,manual,phaseolamin,False,False,
loubia,manual,purines,False,False,
dchicha with klila,manual,na,False,False,
dchicha with klila,manual,saturated fats,False,False,
dchicha with klila,manual,tyramine,False,False,
brik,manual,lecithin,False,False,
brik,manual,purines,False,False,
brik,manual,saturated fats,False,False,
mhadjeb (a=spicy/b=plain),manual,triglycerides,False,False,
baghrir,manual,butyric acid scfas,False,False,
baghrir,manual,co2,False,False,
baghrir,manual,sucrose glucose,False,False,
matlouh,manual,co2,False,False,
matlouh,manual,hydrationmatrix,False,False,
matlouh,manual,na,False,False,
mbessas,manual,densematrix,False,False,
mbessas,manual,lipid,False,False,
mbessas,manual,maillard ages,False,False,
ftir,manual,na,False,False,
ftir,manual,triglycerides,False,False,
ftir,manual,zerofermentation,False,False,
bradj,manual,omega3,False,False,
shbah el-safra,manual,l arginine,False,False,
shbah el-safra,manual,sorbitol,False,False,
shbah el-safra,manual,sucrose glucose,False,False,
shbah el-safra,manual,vitamin e,False,False,
dziriyet,manual,fructose,False,False,
dziriyet,manual,pacs,False,False,
kaak nakach,manual,co,False,False,
kaak nakach,manual,insoluble fiber,False,False,
kaak nakach,manual,lipidcoatedstarch,False,False,
kaak nakach,manual,sodium bicarbonate,False,False,
taminat l-ghars,manual,butter,False,False,
taminat l-ghars,manual,grain starch,False,False,
taminat l-ghars,manual,honey,False,False,
taminat l-ghars,manual,insolfiber,False,False,
taminat l-ghars,manual,pyrodextrins,False,False,
qtayef,manual,ellagitannins,False,False,
qtayef,manual,fructoseglucose,False,False,
qtayef,manual,sha ra strands,False,False,
qtayef,manual,walnutala,False,False,
griwech,manual,3mm,False,False,
griwech,manual,braidedlattice,False,False,
griwech,manual,honey synergy,False,False,
griwech,manual,maillard,False,False,
mhancha,manual,l arginine,False,False,
mhancha,manual,niacin,False,False,
mhancha,manual,oxidised lipids,False,False,
chou-fleur,manual,i3c,False,False,
batata red sauce,manual,gelatinised starch,False,False,
batata bel-jelbana,manual,essaa,False,False,
la soupe (veg+redlentil),manual,allicin lateadd,False,False,
la soupe (veg+redlentil),manual,folate,False,False,
la soupe (veg+redlentil),manual,gingerol,False,False,
la soupe (veg+redlentil),manual,minerals,False,False,
la soupe (veg+redlentil),manual,soluble fiber,False,False,
djelbana b'garnon,manual,cynarin,False,False,
djelbana b'garnon,manual,gelatinisedflour,False,False,
djelbana b'garnon,manual,inositol,False,False,
djelbana b'garnon,manual,silymarin,False,False,
djelbana b'garnon,manual,solfiber,False,False,
fritte omelette,manual,acrylamidemaillard,False,False,
fritte omelette,manual,cck,False,False,
fritte omelette,manual,oxidisedlipids,False,False,
fritte omelette,manual,starchlipid,False,False,
