dish,source,compound,in_foodb,in_hkg,in_manual_for_dish,in_runtime_for_dish
adas,runtime,allicin,True,True,True,
adas,runtime,cuminaldehyde,True,True,True,
adas,runtime,phytic acid,True,True,True,
adas,runtime,potassium,True,True,True,
adas,manual,allicin,True,True,,True
adas,manual,cuminaldehyde,True,True,,True
adas,manual,non heme iron,False,False,,False
adas,manual,phytic acid,True,True,,True
adas,manual,potassium,True,True,,True
atay,runtime,caffeine,True,True,True,
atay,runtime,glucose,True,True,False,
atay,runtime,saponins,True,True,True,
atay,runtime,sucrose,True,True,False,
atay,manual,caffeine,True,True,,True
atay,manual,saponins,True,True,,True
atay,manual,sucrose glucose,False,False,,False
atay,manual,tannins,False,False,,False
baghrir,runtime,amylopectin,True,False,True,
baghrir,runtime,glucose,True,True,False,
baghrir,runtime,sucrose,True,True,False,
baghrir,manual,amylopectin,True,False,,True
baghrir,manual,butyric acid scfas,False,False,,False
baghrir,manual,co2,False,False,,False
baghrir,manual,sucrose glucose,False,False,,False
baklawa,runtime,amygdalin,True,True,True,
baklawa,manual,amygdalin,True,True,,True
baklawa,manual,gelatinisedstarch,False,False,,False
baklawa,manual,honey,False,False,,False
baklawa,manual,laminatedgluten,False,False,,False
baklawa,manual,larginine,False,False,,False
baklawa,manual,omega3,False,False,,False
baklawa,manual,saturated fats,False,False,,False
batata bel-jelbana,runtime,allicin,True,True,True,
batata bel-jelbana,runtime,amylose,True,True,True,
batata bel-jelbana,runtime,cinnamaldehyde,True,True,True,
batata bel-jelbana,runtime,leucine,True,True,True,
batata bel-jelbana,runtime,piperine,True,True,True,
batata bel-jelbana,runtime,saponins,True,True,True,
batata bel-jelbana,manual,allicin,True,True,,True
batata bel-jelbana,manual,amylose,True,True,,True
batata bel-jelbana,manual,cinnamaldehyde,True,True,,True
batata bel-jelbana,manual,essaa,False,False,,False
batata bel-jelbana,manual,leucine,True,True,,True
batata bel-jelbana,manual,piperine,True,True,,True
batata bel-jelbana,manual,saponins,True,True,,True
batata red sauce,runtime,allicin,True,True,True,
batata red sauce,runtime,apigenin,True,True,True,
batata red sauce,runtime,cuminaldehyde,True,True,True,
batata red sauce,runtime,potassium,True,True,True,
batata red sauce,runtime,quercetin,True,True,True,
batata red sauce,manual,allicin,True,True,,True
batata red sauce,manual,apigenin,True,True,,True
batata red sauce,manual,cuminaldehyde,True,True,,True
batata red sauce,manual,gelatinised starch,False,False,,False
batata red sauce,manual,potassium,True,True,,True
batata red sauce,manual,quercetin,True,True,,True
berkoukes,runtime,amylopectin,True,False,False,
berkoukes,runtime,amylose,True,True,False,
berkoukes,runtime,capsaicin,True,True,True,
berkoukes,runtime,curcumin,True,True,True,
berkoukes,runtime,lycopene,True,True,True,
berkoukes,manual,amylose amylopectin,False,False,,False
berkoukes,manual,capsaicin,True,True,,True
berkoukes,manual,curcumin,True,True,,True
berkoukes,manual,lycopene,True,True,,True
bourak jazairi,runtime,acrylamide,True,False,True,
bourak jazairi,runtime,amylopectin,True,False,True,
bourak jazairi,runtime,calcium,True,True,True,
bourak jazairi,runtime,iodine,True,True,True,
bourak jazairi,manual,acrylamide,True,False,,True
bourak jazairi,manual,amylopectin,True,False,,True
bourak jazairi,manual,calcium,True,True,,True
bourak jazairi,manual,iodine,True,True,,True
bourak jazairi,manual,large neutral amino acids,False,False,,False
bourak jazairi,manual,omega3,False,False,,False
bourak jazairi,manual,purines,False,False,,False
bourak jazairi,manual,saturated fats,False,False,,False
bouzlouf/chtitha,runtime,allicin,True,True,False,
bouzlouf/chtitha,runtime,capsaicin,True,True,True,
bouzlouf/chtitha,runtime,cuminaldehyde,True,True,True,
bouzlouf/chtitha,manual,capsaicin,True,True,,True
bouzlouf/chtitha,manual,cuminaldehyde,True,True,,True
bouzlouf/chtitha,manual,purines,False,False,,False
bouzlouf/chtitha,manual,s allicin,False,False,,False
bradj,runtime,cinnamaldehyde,True,True,True,
bradj,runtime,eugenol,True,True,True,
bradj,runtime,lignans,True,True,True,
bradj,runtime,linalool,True,True,True,
bradj,runtime,potassium,True,True,True,
bradj,manual,cinnamaldehyde,True,True,,True
bradj,manual,eugenol,True,True,,True
