manual_food,manual_food_aliases,matched_cache_foods,has_wrapper_b_result,manual_compound_count,llm_compound_count,overlap_count,manual_only_count,llm_only_count,manual_compounds,llm_compounds,overlap_compounds,manual_only_compounds,llm_only_compounds
couscous,couscous,couscous,True,2,0,0,2,0,ferulic acid | phytic acid,,,ferulic acid | phytic acid,
zfiti / zviti,zfiti | zfiti zviti | zviti,,False,4,0,0,4,0,allicin | capsaicin | phytic acid | piperine,,,allicin | capsaicin | phytic acid | piperine,
chakhchoukha,chakhchoukha,chakhchoukha,True,6,15,2,4,13,amylopectin | capsaicin | cinnamaldehyde | lycopene | potassium | purines,allicin | beta carotene | capsaicin | cuminaldehyde | diallyl disulfide | diallyl sulfide | hydroxytyrosol | iron | lutein | lycopene | oleuropein | quercetin | s allylcysteine | thymol | zinc,capsaicin | lycopene,amylopectin | cinnamaldehyde | potassium | purines,allicin | beta carotene | cuminaldehyde | diallyl disulfide | diallyl sulfide | hydroxytyrosol | iron | lutein | oleuropein | quercetin | s allylcysteine | thymol | zinc
guedid / kadid,guedid | guedid kadid | kadid,,False,4,0,0,4,0,ages | allicin | na | tyramine,,,ages | allicin | na | tyramine,
osban / osbane,osban | osban osbane | osbane,,False,6,0,0,6,0,allicin | apigenin | piperine | purines | quercetin | triglycerides,,,allicin | apigenin | piperine | purines | quercetin | triglycerides,
lahm lhalou,lahm lhalou,,False,5,0,0,5,0,amygdalin | butyric acid | cinnamaldehyde | coumarin | sucrose glucose,,,amygdalin | butyric acid | cinnamaldehyde | coumarin | sucrose glucose,
chorba frik / jari,chorba frik | chorba frik jari | jari,,False,6,0,0,6,0,magnesium | menthol | phytic acid | rosmarinicacid | smoked roasted pahs | soluble fiber,,,magnesium | menthol | phytic acid | rosmarinicacid | smoked roasted pahs | soluble fiber,
atay,atay,,False,4,0,0,4,0,caffeine | saponins | sucrose glucose | tannins,,,caffeine | saponins | sucrose glucose | tannins,
chakchouka,chakchouka,,False,5,0,0,5,0,allicin | capsaicin | choline | lycopene | quercetin,,,allicin | capsaicin | choline | lycopene | quercetin,
tajine zeitoun,tajine zeitoun,,False,4,0,0,4,0,allicin | cinnamaldehyde | curcumin | oleuropein,,,allicin | cinnamaldehyde | curcumin | oleuropein,
