brand_name,inn_raw,inn_normalized,pipeline_drug,match_type
ABAVIR OS,Abacavir sulfate experime en abacavir,abacavir experime en abacavir,Abacavir,prefix
ABAVIR,Abacavir sulfate experime en abacavir,abacavir experime en abacavir,Abacavir,prefix
CLOTINAB,Abciximab,abciximab,Abciximab,exact
ZYTIGA,ABIRATERONE ACETATE,abiraterone,Abiraterone,exact
ABIRATERONE UPC,ABIRATERONE ACETATE,abiraterone,Abiraterone,exact
ABIRON,ABIRATERONE ACETATE,abiraterone,Abiraterone,exact
GLYACARB,ACARBOSE,acarbose,Acarbose,exact
LARIMEL,ACARBOSE,acarbose,Acarbose,exact
GLUCONOVA,ACARBOSE,acarbose,Acarbose,exact
GLUCAR,ACARBOSE,acarbose,Acarbose,exact
DIACARBOSE,ACARBOSE,acarbose,Acarbose,exact
CORECT,ACARBOSE,acarbose,Acarbose,exact
ACARLYSE,ACARBOSE,acarbose,Acarbose,exact
ARBOSE,ACARBOSE,acarbose,Acarbose,exact
ACROBAY,ACARBOSE,acarbose,Acarbose,exact
GLUCOBAY,ACARBOSE,acarbose,Acarbose,exact
GLYBEK,ACARBOSE,acarbose,Acarbose,exact
SEBUTOL,ACEBUTOLOL CHLORHYDRATE,acebutolol,Acebutolol,exact
ACEBUTOLOL IVAL,ACEBUTOLOL CHLORHYDRATE,acebutolol,Acebutolol,exact
NOVAROL,Acenocoumarol,acenocoumarol,Acenocoumarol,exact
SINTROM,Acenocoumarol,acenocoumarol,Acenocoumarol,exact
API E,ACETATE ALPHA TOCOPHEROL,acetate alpha tocopherol,acetate,prefix
LYNOX,ACETAZOLAMIDE,acetazolamide,Acetazolamide,exact
TANGANIL,ACETYL- DL- LEUCINE,acetyl- dl- leucine,,none
FLUIMEX,ACETYLCYSTEINE OU N ACETYLCYSTEINE,acetylcysteine ou n acetylcysteine,,none
RHINOFLUIMUCIL,ACETYLCYSTEINE/TUAMINOHEPTANE/CHLORURE DE BENZALKONIUM,acetylcysteine/tuaminoheptane/chlorure de benzalkonium,,none
ASPIGAL 900,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,acide acetylsalicylique,,none
ASPEGIC ENFANT,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,acide acetylsalicylique,,none
ASPEGIC 500,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,acide acetylsalicylique,,none
CLOVIRAX,ACICLOVIR,aciclovir,,none
ACICLOVIR GL,ACICLOVIR,aciclovir,,none
VIRAVIR,ACICLOVIR,aciclovir,,none
NOVACLOVIR,ACICLOVIR,aciclovir,,none
NOVACLOVIR,ACICLOVIR,aciclovir,,none
CLOVIR,ACICLOVIR,aciclovir,,none
ACICLOSINA,ACICLOVIR,aciclovir,,none
ACICLOVIR MYLAN,ACICLOVIR,aciclovir,,none
ASPIRINE CARDIO,ACIDE ACETYLSALICYLIQUE,acide acetylsalicylique,,none
ASPEC,ACIDE ACETYLSALICYLIQUE,acide acetylsalicylique,,none
ASPRO ACCEL,ACIDE ACETYLSALICYLIQUE / CAFEINE,acide acetylsalicylique / cafeine,,none
ASPIRINE UPSA VITAMINE C TAMPONNEE EFFERVESCENTE,ACIDE ACETYLSALICYLIQUE/ ACIDE ASCORBIQUE,acide acetylsalicylique/ acide ascorbique,,none
ENDRONAX,ACIDE ALENDRONIQUE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE,acide alendronique,Alendronic acid,prefix
POROSIMAX PLUS,ACIDE ALENDRONIQUE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE / COLECALCIFEROL,acide alendronique / colecalciferol,Alendronic acid,prefix
VITAMINE  C,ACIDE ASCORBIQUE,acide ascorbique,,none
LADOSCORBINE,ACIDE ASCORBIQUE,acide ascorbique,,none
VITAMINE C,ACIDE ASCORBIQUE,acide ascorbique,,none
VITAMINE C UPSA EFFERVESCENTE,ACIDE ASCORBIQUE,acide ascorbique,,none
APISCORBUT,ACIDE ASCORBIQUE,acide ascorbique,,none
LAROSCORBINE,ACIDE ASCORBIQUE,acide ascorbique,,none
VELITEN,ACIDE ASCORBIQUE / VITAMINE E /RUTOSIDE,acide ascorbique / vitamine e /rutoside,,none
DACRYOSERUM,ACIDE BORIQUE/BORATE DE SODIUM,acide borique/borate de sodium,,none
CIFLODINE,ACIDE FOLIQUE,acide folique,,none
FOLIDEN,ACIDE FOLIQUE,acide folique,,none
ACIDE FOLIQUE - API,ACIDE FOLIQUE,acide folique,,none
HUPFOLIQ,ACIDE FOLIQUE,acide folique,,none
FOLACID,ACIDE FOLIQUE,acide folique,,none
FONITRA,ACIDE FOLIQUE,acide folique,,none
PHYSIOFOL,ACIDE FOLIQUE,acide folique,,none
ACFUSID,ACIDE FUSIDIQUE,acide fusidique,Fusidic acid,prefix
FUCARE,ACIDE FUSIDIQUE,acide fusidique,Fusidic acid,prefix
FUCITHALMIC,ACIDE FUSIDIQUE,acide fusidique,Fusidic acid,prefix
FUCIMED,ACIDE FUSIDIQUE,acide fusidique,Fusidic acid,prefix
FUCIDINE,ACIDE FUSIDIQUE OU FUSIDATE DE SODIUM SEL,acide fusidique ou fusidate de sodium sel,Fusidic acid,prefix
FUCIDINE,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,acide fusidique sous forme de fusidate de sodium,Fusidic acid,prefix
ACFUSID,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,acide fusidique sous forme de fusidate de sodium,Fusidic acid,prefix
EFFUCINE,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,acide fusidique sous forme de fusidate de sodium,Fusidic acid,prefix
