food_name,canonical,dfinder_id,dfinder_name,in_foodb,issues,action
Acetic Acid (Vinegar),Acetic Acid,33,Acetic Acid,,OK,strip qualifier — use Acetic Acid node
Albumin,Albumin,414,Arbutin,YES,FUZZY-MATCH,FUZZY → Arbutin
Allicin,Allicin,1011,Allicin,YES,OK,OK — exact match in DFinder
Allicin-LateAdd,Allicin,1011,Allicin,,INTERNAL-KEY,cooking-stage tag — merge to Allicin
Amygdalin,Amygdalin,671,Amygdalin,YES,OK,OK — exact match in DFinder
Amylopectin,Amylopectin,1801,Amylopectin,YES,OK,OK — exact match in DFinder
Amylose,Amylose,540,Maltose,YES,FUZZY-MATCH,FUZZY → Maltose
Apigenin,Apigenin,656,Apigenin,YES,OK,OK — exact match in DFinder
Ascorbic Acid,Vitamin C,27,Vitamin C,YES,OK,Vitamin C = Ascorbic Acid (DrugBank name)
Benzaldehyde,Benzaldehyde,1399,Benzaldehyde,YES,OK,OK — exact match in DFinder
Beta-Carotene,Beta-Carotene,718,Carotene,YES,FUZZY-MATCH,FUZZY → Carotene
Beta-Glucan,Soluble Fiber,1084,Beta-D-Glucopyranose,YES,FUZZY-MATCH,merge — beta-glucan is soluble fiber
BraidedLattice+3mm,,,,,INTERNAL-KEY|DROP|MISSING,structural descriptor — drop
Butter,Butter,324,Sheabutter,,FUZZY-MATCH,FUZZY → Sheabutter
Butter Emulsion,Butter,,,,MISSING,use Butter node
Butyric Acid,Butyric Acid,679,Butyric Acid,,OK,OK — exact match in DFinder
CO₂,CO₂,,,,MISSING,NOT IN DFINDER — review needed
Caffeine,Caffeine,1,Caffeine,YES,OK,OK — exact match in DFinder
Calcium,Calcium,2,Calcium,YES,OK,OK — exact match in DFinder
Capsaicin,Capsaicin,80,Capsaicin,YES,OK,OK — exact match in DFinder
Carvone (Caraway/Karouiya),Carvone,32,Carvone,,OK,strip qualifier — use Carvone node
Cholesterol,Cholesterol,602,Cholesterol,YES,OK,OK — exact match in DFinder
Choline,Choline,579,Choline,YES,OK,OK — exact match in DFinder
Cinnamaldehyde,Cinnamaldehyde,797,Cinnamaldehyde,YES,OK,OK — exact match in DFinder
Citric Acid,Citric Acid,536,Citric Acid,,OK,OK — exact match in DFinder
Coumarin,Coumarin,645,Coumarin,YES,OK,OK — exact match in DFinder
Crocin,Crocin,454,Crocin,YES,OK,OK — exact match in DFinder
CuminAldehyde,Cuminaldehyde,1503,Cuminaldehyde,YES,OK,canonical
Cuminaldehyde,Cuminaldehyde,1503,Cuminaldehyde,YES,OK,canonical
Curcumin,Curcumin,738,Curcumin,YES,OK,OK — exact match in DFinder
DenseMatrix,DenseMatrix,,,,INTERNAL-KEY|MISSING,NOT IN DFINDER — review needed
Double-Fried Lecithin (Almond Paste),Lecithin,,,,MISSING,use Lecithin node
Ferulic Acid,Ferulic Acid,763,Ferulic Acid,YES,OK,OK — exact match in DFinder
