food_raw,food_name,food_matched,food_id,drug_raw,drug_name,drug_id,verdict
Phytic Acid,Phytic Acid,phytic acid,762,Levothyroxine,levothyroxine,722,DrugBank-named
Phytic Acid,Phytic Acid,phytic acid,762,Ciprofloxacin,ciprofloxacin,258,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,Digoxin,digoxin,378,DrugBank-text
Ferulic Acid,Ferulic Acid,ferulic acid,763,Levothyroxine,levothyroxine,722,DrugBank-text
Ferulic Acid,Ferulic Acid,ferulic acid,763,Digoxin,digoxin,378,DrugBank-text
Allicin,Allicin,allicin,1011,Lisinopril/Warfarin,lisinopril,732,DrugBank-named
Allicin,Allicin,allicin,1011,Lisinopril/Warfarin,warfarin,1396,DrugBank-named
Allicin,Allicin,allicin,1011,Phenytoin,phenytoin,1004,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,Lisinopril/Warfarin,lisinopril,732,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,Lisinopril/Warfarin,warfarin,1396,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,Theophylline,theophylline,1271,LIT-confirmed
Piperine,Piperine,piperine,264,Lisinopril/Warfarin,lisinopril,732,LIT-confirmed
Piperine,Piperine,piperine,264,Lisinopril/Warfarin,warfarin,1396,LIT-confirmed
Piperine,Piperine,piperine,264,Theophylline,theophylline,1271,LIT-confirmed
Piperine,Piperine,piperine,264,Phenytoin,phenytoin,1004,LIT-confirmed
Phytic Acid,Phytic Acid,phytic acid,762,Theophylline,theophylline,1271,LIT-confirmed
Amylopectin,Amylopectin,amylopectin,1801,Insulin/Metformin,insulin,1615,PubMed-NLP
Amylopectin,Amylopectin,amylopectin,1801,Insulin/Metformin,metformin,794,PubMed-NLP
Amylopectin,Amylopectin,amylopectin,1801,Allopurinol,allopurinol,36,PubMed-NLP
K+,Potassium,potassium,22,Insulin/Metformin,insulin,1615,PubMed-NLP
K+,Potassium,potassium,22,Insulin/Metformin,metformin,794,PubMed-NLP
K+,Potassium,potassium,22,ACE-I,lisinopril,732,LIT-confirmed
K+,Potassium,potassium,22,ACE-I,enalapril,435,LIT-confirmed
K+,Potassium,potassium,22,ACE-I,ramipril,1092,LIT-confirmed
K+,Potassium,potassium,22,ACE-I,captopril,198,LIT-confirmed
K+,Potassium,potassium,22,ACE-I,perindopril,988,LIT-confirmed
K+,Potassium,potassium,22,Theophylline,theophylline,1271,LIT-confirmed
Cinnamaldehyde,Cinnamaldehyde,cinnamaldehyde,797,Insulin/Metformin,insulin,1615,PubMed-NLP
Cinnamaldehyde,Cinnamaldehyde,cinnamaldehyde,797,Insulin/Metformin,metformin,794,PubMed-NLP
Capsaicin,Capsaicin,capsaicin,80,ACE-I,lisinopril,732,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,ACE-I,enalapril,435,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,ACE-I,ramipril,1092,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,ACE-I,captopril,198,LIT-confirmed
Capsaicin,Capsaicin,capsaicin,80,ACE-I,perindopril,988,LIT-confirmed
Purines,Purines,purine,799,Allopurinol,allopurinol,36,LIT-confirmed
Tyramine,Tyramine,tyramine-containing foods,496,MAOIs,phenelzine,994,LIT-confirmed
Tyramine,Tyramine,tyramine-containing foods,496,MAOIs,tranylcypromine,1316,LIT-confirmed
Tyramine,Tyramine,tyramine-containing foods,496,MAOIs,isocarboxazid,662,LIT-confirmed
Tyramine,Tyramine,tyramine-containing foods,496,MAOIs,selegiline,1158,LIT-confirmed
Na+,Na+,sodium,25,Lithium,lithium,1475,DrugBank-text
