food_name,food_id,drug_name,drug_id,verdict
Phytic Acid,762,levothyroxine,722,DrugBank-named
Phytic Acid,762,ciprofloxacin,258,LIT-confirmed
Phytic Acid,762,digoxin,378,DrugBank-text
Ferulic Acid,763,levothyroxine,722,DrugBank-text
Ferulic Acid,763,digoxin,378,DrugBank-text
Allicin,1011,lisinopril,732,DrugBank-named
Allicin,1011,warfarin,1396,DrugBank-named
Allicin,1011,phenytoin,1004,LIT-confirmed
Capsaicin,80,lisinopril,732,LIT-confirmed
Capsaicin,80,warfarin,1396,LIT-confirmed
Capsaicin,80,theophylline,1271,LIT-confirmed
Piperine,264,lisinopril,732,LIT-confirmed
Piperine,264,warfarin,1396,LIT-confirmed
Piperine,264,theophylline,1271,LIT-confirmed
Piperine,264,phenytoin,1004,LIT-confirmed
Phytic Acid,762,theophylline,1271,LIT-confirmed
Amylopectin,1801,insulin,1615,PubMed-NLP
Amylopectin,1801,metformin,794,PubMed-NLP
Amylopectin,1801,allopurinol,36,PubMed-NLP
Potassium,22,insulin,1615,PubMed-NLP
Potassium,22,metformin,794,PubMed-NLP
Potassium,22,lisinopril,732,LIT-confirmed
Potassium,22,enalapril,435,LIT-confirmed
Potassium,22,ramipril,1092,LIT-confirmed
Potassium,22,captopril,198,LIT-confirmed
Potassium,22,perindopril,988,LIT-confirmed
Potassium,22,theophylline,1271,LIT-confirmed
Cinnamaldehyde,797,insulin,1615,PubMed-NLP
Cinnamaldehyde,797,metformin,794,PubMed-NLP
Capsaicin,80,enalapril,435,LIT-confirmed
Capsaicin,80,ramipril,1092,LIT-confirmed
Capsaicin,80,captopril,198,LIT-confirmed
Capsaicin,80,perindopril,988,LIT-confirmed
Purines,799,allopurinol,36,LIT-confirmed
Tyramine,496,phenelzine,994,LIT-confirmed
Tyramine,496,tranylcypromine,1316,LIT-confirmed
Tyramine,496,isocarboxazid,662,LIT-confirmed
Tyramine,496,selegiline,1158,LIT-confirmed
Na+,25,lithium,1475,DrugBank-text
Allicin,1011,lithium,1475,LIT-confirmed
Allicin,1011,saquinavir,1149,LIT-confirmed
Triglycerides (Dietary Fat),9,cyclosporine,306,LIT-confirmed
Triglycerides (Dietary Fat),9,orlistat,929,LIT-confirmed
Triglycerides (Dietary Fat),9,diazepam,363,DrugBank-text
Triglycerides (Dietary Fat),9,alprazolam,42,DrugBank-text
Triglycerides (Dietary Fat),9,lorazepam,742,DrugBank-text
Triglycerides (Dietary Fat),9,warfarin,1396,DrugBank-text
Triglycerides (Dietary Fat),9,allopurinol,36,DrugBank-text
Allicin,1011,cyclosporine,306,PubMed-NLP
Allicin,1011,orlistat,929,PubMed-NLP
Quercetin,279,cyclosporine,306,PubMed-NLP
Quercetin,279,orlistat,929,PubMed-NLP
Quercetin,279,warfarin,1396,DrugBank-named
Quercetin,279,allopurinol,36,PubMed-NLP
Coumarin,645,warfarin,1396,LIT-confirmed
Coumarin,645,insulin,1615,PubMed-NLP
Coumarin,645,metformin,794,PubMed-NLP
Sucrose,340,insulin,1615,LIT-confirmed
Glucose,509,insulin,1615,LIT-confirmed
Sucrose,340,metformin,794,LIT-confirmed
Glucose,509,metformin,794,LIT-confirmed
Butyric Acid,679,insulin,1615,PubMed-NLP
Butyric Acid,679,metformin,794,PubMed-NLP
Butyric Acid,679,statins,1772,PubMed-NLP
Phytic Acid,762,tetracycline,1266,LIT-confirmed
Magnesium,20,tetracycline,1266,LIT-confirmed
Phytic Acid,762,doxycycline,405,LIT-confirmed
Magnesium,20,doxycycline,405,LIT-confirmed
Phytic Acid,762,duloxetine,413,DrugBank-text
Magnesium,20,duloxetine,413,DrugBank-text
Phytic Acid,762,metformin,794,DrugBank-text
Magnesium,20,metformin,794,DrugBank-text
Phytic Acid,762,ferrous sulfate anhydrous,513,LIT-confirmed
Magnesium,20,ferrous sulfate anhydrous,513,LIT-confirmed
Phytic Acid,762,ferrous sulfate,1786,LIT-confirmed
Magnesium,20,ferrous sulfate,1786,LIT-confirmed
Phytic Acid,762,ferrous gluconate,512,LIT-confirmed
Magnesium,20,ferrous gluconate,512,LIT-confirmed
Phytic Acid,762,ferrous fumarate,511,LIT-confirmed
Magnesium,20,ferrous fumarate,511,LIT-confirmed
Soluble Fiber (Pectin),10,ciprofloxacin,258,LIT-confirmed
Soluble Fiber (Pectin),10,tetracycline,1266,LIT-confirmed
Soluble Fiber (Pectin),10,doxycycline,405,LIT-confirmed
Soluble Fiber (Pectin),10,theophylline,1271,DrugBank-text
Soluble Fiber (Pectin),10,duloxetine,413,DrugBank-text
Soluble Fiber (Pectin),10,ferrous sulfate anhydrous,513,LIT-confirmed
Soluble Fiber (Pectin),10,ferrous sulfate,1786,LIT-confirmed
Soluble Fiber (Pectin),10,ferrous gluconate,512,LIT-confirmed
Soluble Fiber (Pectin),10,ferrous fumarate,511,LIT-confirmed
Tannins,791,ferrous sulfate anhydrous,513,LIT-confirmed
Tannins,791,ferrous sulfate,1786,LIT-confirmed
Tannins,791,ferrous gluconate,512,LIT-confirmed
Tannins,791,ferrous fumarate,511,LIT-confirmed
Tannins,791,ca,1478,LIT-confirmed
Tannins,791,zn,1525,LIT-confirmed
Tannins,791,calcium carbonate,185,LIT-confirmed
Tannins,791,zinc sulfate,1414,LIT-confirmed
Tannins,791,ciprofloxacin,258,LIT-confirmed
Tannins,791,clozapine,283,LIT-confirmed
Tannins,791,theophylline,1271,LIT-confirmed
Tannins,791,diazepam,363,LIT-confirmed
Tannins,791,alprazolam,42,LIT-confirmed
Tannins,791,lorazepam,742,LIT-confirmed
Tannins,791,propranolol,1068,LIT-confirmed
Tannins,791,metoprolol,818,LIT-confirmed
Tannins,791,atenolol,1724,LIT-confirmed
Tannins,791,bisoprolol,153,LIT-confirmed
Tannins,791,insulin,1615,PubMed-NLP
Tannins,791,empagliflozin,433,PubMed-NLP
Tannins,791,dapagliflozin,322,PubMed-NLP
Tannins,791,canagliflozin,190,PubMed-NLP
Caffeine,1,ferrous sulfate anhydrous,513,LIT-confirmed
Caffeine,1,ferrous sulfate,1786,LIT-confirmed
Caffeine,1,ferrous gluconate,512,LIT-confirmed
Caffeine,1,ferrous fumarate,511,LIT-confirmed
Caffeine,1,ca,1478,LIT-confirmed
Caffeine,1,zn,1525,LIT-confirmed
Caffeine,1,calcium carbonate,185,LIT-confirmed
Caffeine,1,zinc sulfate,1414,LIT-confirmed
Caffeine,1,ciprofloxacin,258,DrugBank-named
Caffeine,1,clozapine,283,DrugBank-named
Caffeine,1,theophylline,1271,DrugBank-named
Caffeine,1,diazepam,363,LIT-confirmed
Caffeine,1,alprazolam,42,LIT-confirmed
Caffeine,1,lorazepam,742,LIT-confirmed
Caffeine,1,propranolol,1068,LIT-confirmed
Caffeine,1,metoprolol,818,LIT-confirmed
Caffeine,1,atenolol,1724,LIT-confirmed
Caffeine,1,bisoprolol,153,LIT-confirmed
Caffeine,1,insulin,1615,PubMed-NLP
Caffeine,1,empagliflozin,433,PubMed-NLP
Caffeine,1,dapagliflozin,322,PubMed-NLP
Caffeine,1,canagliflozin,190,PubMed-NLP
Saponins,1046,ferrous sulfate anhydrous,513,LIT-confirmed
Saponins,1046,ferrous sulfate,1786,LIT-confirmed
Saponins,1046,ferrous gluconate,512,LIT-confirmed
Saponins,1046,ferrous fumarate,511,LIT-confirmed
Saponins,1046,ca,1478,LIT-confirmed
Saponins,1046,zn,1525,LIT-confirmed
Saponins,1046,calcium carbonate,185,LIT-confirmed
Saponins,1046,zinc sulfate,1414,LIT-confirmed
Saponins,1046,ciprofloxacin,258,LIT-confirmed
Saponins,1046,clozapine,283,LIT-confirmed
Saponins,1046,theophylline,1271,LIT-confirmed
Sucrose,340,empagliflozin,433,LIT-confirmed
Glucose,509,empagliflozin,433,LIT-confirmed
Sucrose,340,dapagliflozin,322,LIT-confirmed
Glucose,509,dapagliflozin,322,LIT-confirmed
Sucrose,340,canagliflozin,190,LIT-confirmed
Glucose,509,canagliflozin,190,LIT-confirmed
Quercetin,279,phenytoin,1004,DrugBank-named
Quercetin,279,glipizide,588,DrugBank-named
Quercetin,279,flurbiprofen,546,DrugBank-named
Allicin,1011,glipizide,588,DrugBank-named
