food_name,calcium_tier,vitk_tier,iron_tier,potassium_tier,magnesium_tier,zinc_tier,tyramine_tier,calcium,iron,magnesium,potassium,vitk,zinc,acid_tier
 Egg whites,LOW,LOW,LOW,LOW,LOW,LOW,LOW,8.6,0.185,10.6,129.9375,,0.019375,LOW
" Egg whites, dried",MEDIUM,LOW,LOW,HIGH,HIGH,LOW,LOW,104.33333333333333,0.0,87.62666666666668,958.7333333333333,,0.42866666666666664,LOW
 Egg yolk,MEDIUM,LOW,HIGH,LOW,LOW,MEDIUM,LOW,119.33333333333333,4.128,11.226666666666667,102.46666666666667,,2.9306666666666668,LOW
" Egg yolks, dried",MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,HIGH,LOW,274.44444444444446,9.30111111111111,25.733333333333334,230.77777777777777,,7.1899999999999995,LOW
 Whole eggs,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,LOW,54.92857142857143,1.7707142857142857,11.214285714285714,116.64285714285714,,1.2035714285714287,LOW
" Whole eggs, dried",MEDIUM,LOW,HIGH,HIGH,MEDIUM,HIGH,LOW,211.375,6.675,42.65,464.625,,4.925,LOW
"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE",MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,172.74714285714285,0.28985714285714287,6.785000000000001,30.791664285714287,,0.17175,LOW
"APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C, SHELF STABLE",LOW,LOW,LOW,LOW,LOW,LOW,LOW,7.09875,0.04015625,4.860625,95.86875,,0.002125,LOW
"APPLES, FUJI",LOW,LOW,LOW,LOW,LOW,LOW,LOW,6.125,0.015,4.675,103.75,,0.015,LOW
"APPLES, FUJI, WITH SKIN, RAW",LOW,LOW,LOW,LOW,LOW,LOW,LOW,5.975,0.015,4.67,103.7625,,0.0167625,LOW
"APPLES, GALA",LOW,LOW,LOW,LOW,LOW,LOW,LOW,6.625,0.05875,4.9375,105.875,,0.02375,LOW
"APPLES, GALA, WITH SKIN, RAW",LOW,LOW,LOW,LOW,LOW,LOW,LOW,6.63875,0.060125,4.946875,105.8625,,0.0234875,LOW
