lgn_id,lgn_name,hkg_name,in_mech_kge
0,(R)-warfarin,(R)-warfarin,True
1,(S)-Warfarin,(S)-Warfarin,True
2,Abacavir,Abacavir,True
3,Abaloparatide,Abaloparatide,True
4,Abciximab,Abciximab,True
5,Abemaciclib,Abemaciclib,True
6,Abiraterone,Abiraterone,True
7,Abrocitinib,Abrocitinib,True
8,Acalabrutinib,Acalabrutinib,True
9,Acamprosate,Acamprosate,True
10,Acarbose,Acarbose,True
11,Acebutolol,Acebutolol,True
12,Aceclofenac,Aceclofenac,True
13,Acenocoumarol,Acenocoumarol,True
14,Acepromazine,Acepromazine,True
15,Acetaminophen,Acetaminophen,True
16,Acetazolamide,Acetazolamide,True
17,Acetohexamide,Acetohexamide,True
18,Acetohydroxamic acid,Acetohydroxamic acid,True
19,Acetylsalicylic acid,Acetylsalicylic acid,True
20,Acitretin,Acitretin,True
21,Activated charcoal,,False
22,Acyclovir,Acyclovir,True
23,Adagrasib,Adagrasib,True
24,Adefovir dipivoxil,Adefovir dipivoxil,True
25,Adenosine,Adenosine,True
26,Afatinib,Afatinib,True
27,Albendazole,Albendazole,True
28,Alcloxa,,False
29,Alectinib,Alectinib,True
30,Alendronic acid,Alendronic acid,True
31,Alfacalcidol,Alfacalcidol,True
32,Alfuzosin,Alfuzosin,True
33,Alimemazine,Alimemazine,True
34,Aliskiren,Aliskiren,True
35,Alitretinoin,Alitretinoin,True
36,Allopurinol,Allopurinol,True
37,Almasilate,,False
38,Almotriptan,Almotriptan,True
39,Alogliptin,Alogliptin,True
40,Alosetron,Alosetron,True
41,Alpelisib,Alpelisib,True
42,Alprazolam,Alprazolam,True
43,Alteplase,Alteplase,True
44,Altretamine,,False
45,Aluminum hydroxide,,False
46,Alvimopan,Alvimopan,True
47,Amantadine,Amantadine,True
48,Amediplase,Amediplase,True
49,Amifampridine,Amifampridine,True
50,Amiloride,Amiloride,True
51,Amineptine,Amineptine,True
52,Aminocaproic acid,Aminocaproic acid,True
53,Aminoglutethimide,Aminoglutethimide,True
54,Aminophylline,Aminophylline,True
55,Aminosalicylic acid,Aminosalicylic acid,True
56,Amiodarone,Amiodarone,True
57,Amisulpride,Amisulpride,True
58,Amitriptyline,Amitriptyline,True
59,Amlodipine,Amlodipine,True
60,Amobarbital,Amobarbital,True
61,Amoxapine,Amoxapine,True
62,Amoxicillin,Amoxicillin,True
63,Amphetamine,Amphetamine,True
64,Ampicillin,Ampicillin,True
65,Amprenavir,Amprenavir,True
66,Amyl Nitrite,Amyl Nitrite,True
67,Anagrelide,Anagrelide,True
68,Anastrozole,Anastrozole,True
69,Ancrod,Ancrod,True
70,Anethole trithione,Anethole trithione,True
71,Anileridine,Anileridine,True
72,Anistreplase,Anistreplase,True
73,Antipyrine,Antipyrine,True
74,Antithrombin Alfa,Antithrombin Alfa,True
75,Antithrombin III human,Antithrombin III human,True
76,Apalutamide,Apalutamide,True
77,Apixaban,Apixaban,True
78,Apomorphine,Apomorphine,True
79,Apremilast,Apremilast,True
80,Aprepitant,Aprepitant,True
81,Aprocitentan,Aprocitentan,True
82,Ardeparin,Ardeparin,True
83,Argatroban,Argatroban,True
84,Arimoclomol,Arimoclomol,True
85,Aripiprazole,Aripiprazole,True
86,Armodafinil,Armodafinil,True
87,Artemether,Artemether,True
