lgn_food_id,food_name,has_fp,rep_compound,rep_smiles,strategy
0,Bilberry,True,,,original
1,Caffeine,True,,,original
2,Calcium,True,,,original
3,Chamomile,False,,,no_representative_found
4,Cheese,True,,,original
5,Coffee,True,,,original
6,Dairy,False,,,no_representative_found
7,Danshen Compound,False,,,no_representative_found
8,Echinacea,False,,,no_representative_found
9,Fat,False,Oleic Acid,,copy_lgn:754
10,Fiber,False,Pectin,OC(=O)[C@H]1OC(O)[C@@H](O)[C@H](O)[C@H]1O,compute_smiles
11,Folic Acid,True,,,original
12,Garlic Bulb,False,,,no_representative_found
13,Ginger,True,,,original
14,Ginkgo Biloba,False,,,no_representative_found
15,Ginseng,True,,,original
16,Grapefruit,True,,,original
17,Green Tea,True,,,original
18,Iron,True,,,original
19,Licorice Extract,False,,,no_representative_found
20,Magnesium,True,,,original
21,Milk,False,,,no_representative_found
22,Potassium,True,,,original
23,Protein,False,L-Leucine,,copy_lgn:511
24,Salt,True,,,original
25,Sodium,True,,,original
26,Vitamin B Complex,False,,,no_representative_found
27,Vitamin C,True,,,original
28,Vitamin D,True,,,original
29,Vitamin E,True,,,original
30,Vitamin K2,True,,,original
31,Zinc,True,,,original
32,Carvone,True,,,original
33,Acetic Acid,True,,,original
34,Acorn,True,,,original
35,Shi Chang Pu,False,,,no_representative_found
36,Bael Fruit,False,,,no_representative_found
37,Agave,True,,,original
38,Alaska Pollock,True,,,original
39,Ale,False,,,no_representative_found
40,Gracilaria Seaweed,False,,,no_representative_found
41,Amaranth,True,,,original
42,Amlaki,False,,,no_representative_found
43,Dill,True,,,original
44,Angelica Dahurica,False,,,no_representative_found
45,Angelica Keiskei,False,,,no_representative_found
46,Anise Myrtle,False,,,no_representative_found
47,Anthocyanins,False,Cyanidin,,copy_lgn:124
48,Groundnut,False,,,no_representative_found
49,Apple,True,,,original
50,Apple Condensed Tannin,False,,,no_representative_found
51,Araceae,False,,,no_representative_found
52,Bearberry,False,,,no_representative_found
53,Black Chokeberry,True,,,original
54,Ashwagandha,False,,,no_representative_found
55,Asparagus,True,,,original
56,Auraptene,True,,,original
57,Neem,False,,,no_representative_found
58,Desert Date,False,,,no_representative_found
59,Banana,True,,,original
60,Beef Tallow,False,,,no_representative_found
61,Beer,True,,,original
62,Berberine,True,,,original
63,Bergamot,False,,,no_representative_found
64,Blackcurrant,True,,,original
65,Blueberry,False,,,no_representative_found
66,Blueberry Anthocyanins-Enriched Extract,False,,,no_representative_found
67,Fingerroot,False,,,no_representative_found
