head	relation	tail
Clonidine	activates	ADRA1D
Cisapride	activates	HTR2A
Eletriptan	activates	HTR1D
Nebivolol	activates	ADRB3
Ibuprofen	activates	PPARA
Methadone	activates	CHRNA7
Cannabidiol	activates	GPR12
Methylphenidate	activates	HTR1A
Aripiprazole	activates	HTR7
Fenoldopam	activates	DRD1
Insulin detemir	activates	INSR
Bromocriptine	activates	HTR1D
Brexpiprazole	activates	HTR1A
Sucralfate	activates	FGF2
Darbepoetin alfa	activates	EPOR
Bromocriptine	activates	ADRA1A
Meprobamate	activates	GABRA1
Pilocarpine	activates	CHRM3
Liotrix	activates	THRA
Etretinate	activates	RXRA
Aripiprazole	activates	DRD5
Ergotamine	activates	HTR1F
Dihydroergotamine	activates	DRD4
Clofibrate	activates	PPARA
Etonogestrel	activates	PGR
Opium	activates	OPRK1
Codeine	activates	OPRD1
Insulin human	activates	IGF1R
Chromic chloride	activates	INSR
Pramipexole	activates	HTR1A
Nicotine	activates	CHRNA3
Pramipexole	activates	DRD3
Tizanidine	activates	ADRA1A
Nitroglycerin	activates	EGFR
Pentoxyverine	activates	OPRK1
Tasimelteon	activates	MTNR1A
Misoprostol	activates	PTGER2
Omeprazole	activates	AHR
Clonidine	activates	ADRA2C
Morphine	activates	OPRM1
Bromocriptine	activates	ADRA2C
Bezafibrate	activates	PPARG
Insulin degludec	activates	INSR
Regadenoson	activates	ADORA2A
Resmetirom	activates	THRB
Tamoxifen	activates	ESR2
Dextrothyroxine	activates	THRB
Methysergide	activates	HTR1A
Apomorphine	activates	ADRA2B
Paroxetine	activates	HTR2A
Droxidopa	activates	ADRB2
Acitretin	activates	RARG
Droxidopa	activates	ADRA1A
Bezafibrate	activates	RXRG
Calcium citrate	activates	CASR
Ergotamine	activates	HTR2C
Cariprazine	activates	DRD2
Levothyroxine	activates	THRB
Methyldopa	activates	DRD2
Ergotamine	activates	ADRA1D
Anileridine	activates	OPRM1
Racepinephrine	activates	ADRB3
Bromocriptine	activates	HTR2B
Amyl Nitrite	activates	NPR1
Alitretinoin	activates	RXRB
Levamisole	activates	CHRNA3
Megestrol acetate	activates	NR3C1
Alitretinoin	activates	CRABP2
Nalmefene	activates	OPRK1
Ergotamine	activates	DRD1
Hydromorphone	activates	OPRD1
Dexfenfluramine	activates	HTR2C
Spironolactone	activates	NR1I2
Buprenorphine	activates	OPRM1
Levamisole	activates	unc-63
Pseudoephedrine	activates	ADRA2A
Prednisolone acetate	activates	NR3C1
Meperidine	activates	OPRK1
Remimazolam	activates	GABRG3
Prednisolone	activates	NR3C1
Meprobamate	activates	GABRA4
Varenicline	activates	CHRNB2
Tretinoin	activates	RARG
Pergolide	activates	HTR1A
Dihydroergotamine	activates	DRD3
Carbocisteine	activates	NFE2L2
Amphetamine	activates	ADRB1
Adenosine	activates	ADORA2B
Estazolam	activates	TSPO
Ergoloid mesylate	activates	HTR1A
Serdexmethylphenidate	activates	HTR1A
Hydroxyzine	activates	HRH1
Racepinephrine	activates	ADRA2B
Ticagrelor	activates	CYP3A5
Tibolone	activates	ESR1
Cannabidiol	activates	PPARG
Mecasermin	activates	IGF1R
Fenoterol	activates	ADRB3
Amitriptyline	activates	NTRK1
Fenoldopam	activates	DRD5
Pizotifen	activates	HTR1A
Mecasermin	activates	IGF2R
Cannabidiol	activates	CNR2
Buspirone	activates	HTR1A
Opium	activates	OPRD1
Phenobarbital	activates	NR1I2
Vamorolone	activates	NR3C1
Rasagiline	activates	BCL2
Streptokinase	activates	F2R
Nalbuphine	activates	OPRK1
Flibanserin	activates	DRD4
Zolmitriptan	activates	HTR2A
Dihydroergotamine	activates	HTR2B
Apomorphine	activates	DRD3
Dihydroergotamine	activates	HTR4
Frovatriptan	activates	HTR1B
Phenylpropanolamine	activates	ADRB1
Butorphanol	activates	OPRK1
Methyprylon	activates	GABRA1
Nicotine	activates	CHRNA10
Morphine	activates	OPRK1
Aripiprazole	activates	DRD1
Nitroglycerin	activates	NPR1
Pioglitazone	activates	PPARG
Fludrocortisone	activates	NR3C2
Pindolol	activates	ADRB1
Racepinephrine	activates	ADRB1
Progesterone	activates	NR3C2
Segesterone acetate	activates	AR
Etretinate	activates	RARG
Cannabidiol	activates	TRPV2
Treprostinil	activates	PTGIR
Pentoxifylline	activates	ADORA2A
Trazodone	activates	HTR1A
Brimonidine	activates	ADRA2A
Pilocarpine	activates	CHRM4
Tamoxifen	activates	NR1I2
Tirzepatide	activates	GLP1R
Prucalopride	activates	HTR4
Oxycodone	activates	OPRK1
Calcium citrate	activates	CALM3
Tiratricol	activates	THRB
Ergoloid mesylate	activates	ADRB1
Meprobamate	activates	GABRA3
Raloxifene	activates	ESR2
Tianeptine	activates	DRD3
Acebutolol	activates	ADRB1
Aminophylline	activates	HDAC2
Aripiprazole	activates	HTR1A
Diphenhydramine	activates	HRH1
Cabergoline	activates	HTR2B
Fludarabine	activates	DCK
Tiratricol	activates	THRA
Erythrityl tetranitrate	activates	NPR1
Remifentanil	activates	OPRM1
Naratriptan	activates	HTR1D
Vortioxetine	activates	HTR1B
Epoprostenol	activates	PTGIR
Sulfinpyrazone	activates	NR1I2
Niacin	activates	HCAR2
Cariprazine	activates	DRD3
Danazol	activates	ESR1
Isotretinoin	activates	RARA
Hydromorphone	activates	OPRK1
Zolmitriptan	activates	HTR1F
Furosemide	activates	GPR35
Acitretin	activates	RARA
Etretinate	activates	RXRB
Cisapride	activates	HTR3A
Tizanidine	activates	NISCH
Prednisolone phosphate	activates	NR3C1
Mexiletine	activates	AHR
Rosiglitazone	activates	PPARG
Ketamine	activates	DRD2
Tapentadol	activates	OPRM1
Benzphetamine	activates	ADRA1A
Pseudoephedrine	activates	ADRB1
Droxidopa	activates	ADRA2B
Ergotamine	activates	HTR1B
Remifentanil	activates	OPRD1
Metformin	activates	PRKAB1
Melatonin	activates	MTNR1A
Insulin human	activates	PCSK1
Flibanserin	activates	HTR1A
Trimebutine	activates	OPRM1
Lofexidine	activates	HTR2C
Insulin aspart	activates	IGF1R
Cisapride	activates	HTR4
Paroxetine	activates	HTR2B
Levamisole	activates	lev-1
Nifedipine	activates	NR1I2
Tapentadol	activates	OPRK1
Calcium citrate	activates	PDCD6
Cannabidiol	activates	HTR2A
Dronabinol	activates	CNR2
Zolmitriptan	activates	HTR1E
Nateglinide	activates	PPARG
Bempedoic acid	activates	NUAK2
Pentaerythritol tetranitrate	activates	HBB
Dihydroergotamine	activates	HTR2C
Nylidrin	activates	IFNAR2
Pramipexole	activates	DRD4
Segesterone acetate	activates	PGR
Zolmitriptan	activates	HTR2B
Dihydroergotamine	activates	HTR1E
Bromocriptine	activates	HTR1A
Levamlodipine	activates	NOS3
Imipramine	activates	HTR1A
Cannabidiol	activates	GPR18
Fentanyl	activates	OPRD1
Racepinephrine	activates	ADRB2
Methadone	activates	OPRD1
Etretinate	activates	RXRG
Levorphanol	activates	OPRD1
Ethotoin	activates	NR1I2
Nabilone	activates	CNR2
Varenicline	activates	CHRNA6
Levorphanol	activates	OPRK1
Bexarotene	activates	RXRG
Anistreplase	activates	PLG
Nabilone	activates	CNR1
Bexarotene	activates	RXRB
Pentaerythritol tetranitrate	activates	HBA1
Dihydroergotamine	activates	ADRB3
Ergoloid mesylate	activates	ADRA1A
Clomifene	activates	ESR2
Apomorphine	activates	DRD1
Brimonidine	activates	ADRA2B
Sumatriptan	activates	HTR1D
Pramipexole	activates	ADRA2A
Midodrine	activates	ADRA1A
Ponesimod	activates	S1PR1
Difelikefalin	activates	OPRK1
Tretinoin	activates	RARRES1
Fenofibrate	activates	NR1I2
Spironolactone	activates	ESR1
Interferon beta-1b	activates	IFNAR1
Zolpidem	activates	GABRA1
Treprostinil	activates	PTGDR
Phendimetrazine	activates	ADRA1B
Celiprolol	activates	ADRB3
Lusutrombopag	activates	MPL
Ropinirole	activates	DRD2
Bethanechol	activates	CHRM2
Ergotamine	activates	HTR2A
Heparin	activates	FGF4
Interferon beta-1a	activates	IFNAR1
Trazodone	activates	HTR2C
Ropinirole	activates	DRD4
Sulfasalazine	activates	PPARG
Nicotine	activates	CHRNA2
Dienogest	activates	PGR
Diphenoxylate	activates	OPRD1
Sumatriptan	activates	HTR1B
Aripiprazole	activates	DRD2
Orciprenaline	activates	ADRB2
Verapamil	activates	CYP2B6
Alitretinoin	activates	RARA
Calcium citrate	activates	CADPS2
Bromocriptine	activates	HTR2A
Metformin	activates	ACACB
Apomorphine	activates	HTR1B
Cabergoline	activates	HTR1D
Betahistine	activates	HRH1
Estradiol valerate	activates	ESR2
Peginterferon alfa-2a	activates	IFNAR1
Streptokinase	activates	PLG
Riociguat	activates	GUCY1A2
Methylprednisolone	activates	ANXA1
Pitolisant	activates	HRH3
Bethanechol	activates	CHRM4
Tramadol	activates	OPRK1
Calcifediol	activates	VDR
Metoclopramide	activates	HTR4
Methylnaltrexone	activates	MC4R
Gepirone	activates	HTR1A
Medroxyprogesterone acetate	activates	PGR
Iron	activates	HBA1
Gabapentin	activates	KCNQ3
Apomorphine	activates	ADRA2A
Sulfasalazine	activates	RELB
Ozanimod	activates	S1PR5
Synthetic Conjugated Estrogens, B	activates	ESR1
Omaveloxolone	activates	NFE2L2
Dihydroergotamine	activates	HTR1B
Tizanidine	activates	ADRA2A
Clozapine	activates	CHRM1
