head	relation	tail
Tannase	inhibits	Solute carrier organic anion transporter family member 1B3
Tannase	inhibits	Solute carrier organic anion transporter family member 1B1
Tannase	inhibits	Cytochrome P450 3A4
Ellagic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Ellagic acid	inhibits	Solute carrier organic anion transporter family member 1B3
1,2,3,4-Tetrahydro-beta-carboline	inhibits	Solute carrier organic anion transporter family member 1B1
1,2,3,4-Tetrahydro-beta-carboline	inhibits	Solute carrier organic anion transporter family member 1B3
Tryptamine	inhibits	Solute carrier organic anion transporter family member 1B3
Tryptamine	inhibits	Solute carrier organic anion transporter family member 1B1
Imipramine	inhibits	Cytochrome P450 2D6
Diazepam	inhibits	Solute carrier organic anion transporter family member 1B1
Estrogen	inhibits	Cytochrome P450 3A4
Diethylstilbesterol	inhibits	Cytochrome P450 3A4
Estrogen	inhibits	Solute carrier organic anion transporter family member 1B1
Diethylstilbesterol	inhibits	Solute carrier organic anion transporter family member 1B1
Xanthotoxin	inhibits	Cytochrome P450 2C19
Xanthotoxin	inhibits	Cytochrome P450 3A4
Xanthotoxin	inhibits	Cytochrome P450 2D6
Xanthotoxin	inhibits	Cytochrome P450 1A2
Xanthotoxin	inhibits	Solute carrier organic anion transporter family member 1B1
Xanthotoxin	inhibits	Solute carrier organic anion transporter family member 1B3
Xanthotoxin	inhibits	Cytochrome P450 1A1
Verapamil	inhibits	ATP-dependent translocase ABCB1
Verapamil	inhibits	Cytochrome P450 3A4
coumarin	inhibits	Solute carrier organic anion transporter family member 1B1
coumarin	inhibits	Solute carrier organic anion transporter family member 1B3
Atenolol	inhibits	Solute carrier organic anion transporter family member 1B1
Atenolol	inhibits	Solute carrier organic anion transporter family member 1B3
Acetylsalicylic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Propranolol	inhibits	Cytochrome P450 2D6
Propranolol	inhibits	Cytochrome P450 1A2
Propranolol	inhibits	Cytochrome P450 3A4
Propranolol	inhibits	Cytochrome P450 2C19
Propranolol	inhibits	Cytochrome P450 2C8
Propranolol	inhibits	Cytochrome P450 2C9
Benzamide	inhibits	Cytochrome P450 2C19
Benzamide	inhibits	Cytochrome P450 3A4
Apigenin	inhibits	Cytochrome P450 1A2
Apigenin	inhibits	Cytochrome P450 1A1
Apigenin	inhibits	Cytochrome P450 1B1
Apigenin	inhibits	Cytochrome P450 2C19
Apigenin	inhibits	Cytochrome P450 3A4
Apigenin	inhibits	Cytochrome P450 2C9
Apigenin	inhibits	Solute carrier organic anion transporter family member 1B3
Apigenin	inhibits	Solute carrier organic anion transporter family member 1B1
Poly(divinylbenzene-co-trimethyl(vinylbenzyl)ammonium chloride)	inhibits	Solute carrier organic anion transporter family member 1B1
Poly(divinylbenzene-co-trimethyl(vinylbenzyl)ammonium chloride)	inhibits	Solute carrier organic anion transporter family member 1B3
Poly(divinylbenzene-co-trimethyl(vinylbenzyl)ammonium chloride)	inhibits	Cytochrome P450 3A4
Hydrochlorothiazide	inhibits	Cytochrome P450 2C9
Hydrochlorothiazide	inhibits	Solute carrier organic anion transporter family member 1B1
Hydrochlorothiazide	inhibits	Solute carrier organic anion transporter family member 1B3
Frusemide	inhibits	Solute carrier organic anion transporter family member 1B3
Frusemide	inhibits	Solute carrier organic anion transporter family member 1B1
Kojic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Kojic acid	inhibits	Solute carrier organic anion transporter family member 1B3
1,3-Benzenediol	inhibits	Cytochrome P450 3A4
1,3-Benzenediol	inhibits	Solute carrier organic anion transporter family member 1B1
1,3-Benzenediol	inhibits	Solute carrier organic anion transporter family member 1B3
(2E,6E)-Farnesol	inhibits	Solute carrier organic anion transporter family member 1B1
Farnesol	inhibits	Solute carrier organic anion transporter family member 1B1
(2E,6E)-Farnesol	inhibits	Solute carrier organic anion transporter family member 1B3
Farnesol	inhibits	Solute carrier organic anion transporter family member 1B3
Choline chloride	inhibits	Solute carrier organic anion transporter family member 1B3
Choline chloride	inhibits	Solute carrier organic anion transporter family member 1B1
Finasteride	inhibits	Cytochrome P450 3A4
Finasteride	inhibits	Cytochrome P450 2C19
Finasteride	inhibits	Cytochrome P450 2C9
Dimethyl sulfone	inhibits	Solute carrier organic anion transporter family member 1B3
Dimethyl sulfone	inhibits	Solute carrier organic anion transporter family member 1B1
Olanzapine	inhibits	Cytochrome P450 2D6
Ethylenediaminetetraacetic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Ethylenediaminetetraacetic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Berberine	inhibits	Cytochrome P450 2D6
Berberine	inhibits	Cytochrome P450 1B1
Valdecoxib	inhibits	Solute carrier organic anion transporter family member 1B3
Valdecoxib	inhibits	Solute carrier organic anion transporter family member 1B1
Guaifenesin	inhibits	Solute carrier organic anion transporter family member 1B3
Guaifenesin	inhibits	Solute carrier organic anion transporter family member 1B1
3,4-Dimethoxybenzoic acid	inhibits	Solute carrier organic anion transporter family member 1B3
3,4-Dimethoxybenzoic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Lisinopril	inhibits	Solute carrier organic anion transporter family member 1B1
Lisinopril	inhibits	Solute carrier organic anion transporter family member 1B3
Azelaic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Azelaic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Benzyl benzoate	inhibits	Solute carrier organic anion transporter family member 1B1
Benzyl benzoate	inhibits	Solute carrier organic anion transporter family member 1B3
Estriol	inhibits	Solute carrier organic anion transporter family member 1B1
Estriol	inhibits	Solute carrier organic anion transporter family member 1B3
Medroxyprogesterone	inhibits	Cytochrome P450 2C19
p,p'-DDE	inhibits	Cytochrome P450 3A4
p,p'-DDE	inhibits	Solute carrier organic anion transporter family member 1B1
p,p'-DDE	inhibits	Solute carrier organic anion transporter family member 1B3
Latex	inhibits	Cytochrome P450 2C19
Latex	inhibits	Solute carrier organic anion transporter family member 1B1
Latex	inhibits	Solute carrier organic anion transporter family member 1B3
6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline	inhibits	Cytochrome P450 3A4
6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline	inhibits	ATP-dependent translocase ABCB1
6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline	inhibits	Solute carrier organic anion transporter family member 1B3
6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline	inhibits	Solute carrier organic anion transporter family member 1B1
Dicoumarol	inhibits	Cytochrome P450 2C9
Dicoumarol	inhibits	Cytochrome P450 2C19
Dicoumarol	inhibits	Cytochrome P450 3A4
beta-Ionone	inhibits	Cytochrome P450 3A4
Allantoin	inhibits	Solute carrier organic anion transporter family member 1B3
Allantoin	inhibits	Solute carrier organic anion transporter family member 1B1
Avocadyne 1-acetate	inhibits	Solute carrier organic anion transporter family member 1B3
Avocadyne 1-acetate	inhibits	Solute carrier organic anion transporter family member 1B1
(S,E)-Zearalenone	inhibits	Cytochrome P450 3A4
Ethyl linilenate	inhibits	Cytochrome P450 3A4
Apiole	inhibits	Cytochrome P450 3A4
Apiole	inhibits	Solute carrier organic anion transporter family member 1B3
Apiole	inhibits	Solute carrier organic anion transporter family member 1B1
Sulfadiazine	inhibits	Solute carrier organic anion transporter family member 1B1
Sulfadiazine	inhibits	Solute carrier organic anion transporter family member 1B3
5-Methoxytryptamine	inhibits	Solute carrier organic anion transporter family member 1B3
5-Methoxytryptamine	inhibits	Solute carrier organic anion transporter family member 1B1
Serotonin	inhibits	Cytochrome P450 2D6
Sulfadimidine	inhibits	Solute carrier organic anion transporter family member 1B1
Sulfadimidine	inhibits	Solute carrier organic anion transporter family member 1B3
Genistein	inhibits	Cytochrome P450 2C19
Genistein	inhibits	Cytochrome P450 3A4
Genistein	inhibits	Cytochrome P450 2C9
Genistein	inhibits	Solute carrier organic anion transporter family member 1B1
Genistein	inhibits	Solute carrier organic anion transporter family member 1B3
Chalcone	inhibits	Cytochrome P450 3A4
Chalcone	inhibits	Cytochrome P450 1B1
Rotenone	inhibits	Cytochrome P450 2C19
Melatonin	inhibits	Cytochrome P450 2D6
Melatonin	inhibits	Solute carrier organic anion transporter family member 1B3
Melatonin	inhibits	Solute carrier organic anion transporter family member 1B1
Daidzein	inhibits	Cytochrome P450 2C19
Daidzein	inhibits	Cytochrome P450 2C9
Daidzein	inhibits	Solute carrier organic anion transporter family member 1B3
Daidzein	inhibits	Solute carrier organic anion transporter family member 1B1
Enkephalin L	inhibits	Solute carrier organic anion transporter family member 1B1
Enkephalin L	inhibits	Solute carrier organic anion transporter family member 1B3
Baicalein	inhibits	Cytochrome P450 2C19
Baicalein	inhibits	Cytochrome P450 2C9
Baicalein	inhibits	Cytochrome P450 1A1
Baicalein	inhibits	Cytochrome P450 1B1
Baicalein	inhibits	Solute carrier organic anion transporter family member 1B3
Baicalein	inhibits	Solute carrier organic anion transporter family member 1B1
Baicalein	inhibits	Cytochrome P450 3A4
Quercetin	inhibits	Cytochrome P450 1A2
Quercetin	inhibits	Cytochrome P450 1A1
Quercetin	inhibits	Cytochrome P450 1B1
Quercetin	inhibits	Cytochrome P450 3A4
Quercetin	inhibits	Cytochrome P450 2C9
Quercetin	inhibits	Solute carrier organic anion transporter family member 1B1
Quercetin	inhibits	Solute carrier organic anion transporter family member 1B3
Quercetin	inhibits	Cytochrome P450 2C8
Methyldopa	inhibits	Solute carrier organic anion transporter family member 1B1
Methyldopa	inhibits	Solute carrier organic anion transporter family member 1B3
Mastic gum	inhibits	ATP-dependent translocase ABCB1
Mastic gum	inhibits	Cytochrome P450 3A4
Mastic gum	inhibits	Cytochrome P450 2D6
Mastic gum	inhibits	Solute carrier organic anion transporter family member 1B1
Mastic gum	inhibits	Solute carrier organic anion transporter family member 1B3
Mastic gum	inhibits	Cytochrome P450 2C19
salicyl alcohol	inhibits	Solute carrier organic anion transporter family member 1B1
salicyl alcohol	inhibits	Solute carrier organic anion transporter family member 1B3
1,2-Benzenediol	inhibits	Cytochrome P450 3A4
Hypericin	inhibits	Cytochrome P450 3A4
Epigallocatechin-3-gallate	inhibits	ATP-dependent translocase ABCB1
Epigallocatechin	inhibits	Solute carrier organic anion transporter family member 1B3
Epigallocatechin	inhibits	Solute carrier organic anion transporter family member 1B1
Creatinine	inhibits	Solute carrier organic anion transporter family member 1B1
Creatinine	inhibits	Solute carrier organic anion transporter family member 1B3
Urea	inhibits	Solute carrier organic anion transporter family member 1B1
Urea	inhibits	Solute carrier organic anion transporter family member 1B3
Tolnaftate	inhibits	Cytochrome P450 2C19
Tolnaftate	inhibits	Cytochrome P450 3A4
Tolnaftate	inhibits	Cytochrome P450 2C9
Tolnaftate	inhibits	Solute carrier organic anion transporter family member 1B1
Tolnaftate	inhibits	Solute carrier organic anion transporter family member 1B3
4-Methylaesculetin	inhibits	Solute carrier organic anion transporter family member 1B1
4-Methylaesculetin	inhibits	Solute carrier organic anion transporter family member 1B3
Isobergapten	inhibits	Solute carrier organic anion transporter family member 1B3
Isobergapten	inhibits	Solute carrier organic anion transporter family member 1B1
Parathion	inhibits	Cytochrome P450 3A4
Parathion	inhibits	ATP-dependent translocase ABCB1
hydroquinone-O-β-D-glucopyranoside	inhibits	Solute carrier organic anion transporter family member 1B1
hydroquinone-O-β-D-glucopyranoside	inhibits	Solute carrier organic anion transporter family member 1B3
Imidacloprid	inhibits	Solute carrier organic anion transporter family member 1B3
Imidacloprid	inhibits	Solute carrier organic anion transporter family member 1B1
Riboflavine	inhibits	Cytochrome P450 2C19
Riboflavine	inhibits	Solute carrier organic anion transporter family member 1B3
Riboflavine	inhibits	Solute carrier organic anion transporter family member 1B1
(S)-Isocorydine	inhibits	Solute carrier organic anion transporter family member 1B1
(S)-Isocorydine	inhibits	Solute carrier organic anion transporter family member 1B3
Xanthoxylin	inhibits	Solute carrier organic anion transporter family member 1B3
Xanthoxylin	inhibits	Solute carrier organic anion transporter family member 1B1
Canrenone	inhibits	Solute carrier organic anion transporter family member 1B3
Tetrahydrocortisone	inhibits	Solute carrier organic anion transporter family member 1B1
Tetrahydrocortisone	inhibits	Solute carrier organic anion transporter family member 1B3
Sennoside A	inhibits	Solute carrier organic anion transporter family member 1B1
Sennoside A	inhibits	Solute carrier organic anion transporter family member 1B3
4-Aminohippuric acid	inhibits	Solute carrier organic anion transporter family member 1B1
4-Aminohippuric acid	inhibits	Solute carrier organic anion transporter family member 1B3
Lignans	inhibits	Cytochrome P450 3A4
Lignans	inhibits	Cytochrome P450 2C19
Lignans	inhibits	Cytochrome P450 2C9
Lignans	inhibits	Solute carrier organic anion transporter family member 1B1
Lignans	inhibits	Solute carrier organic anion transporter family member 1B3
Isoniazid	inhibits	Cytochrome P450 3A4
Isoniazid	inhibits	Cytochrome P450 2C19
Isoniazid	inhibits	Solute carrier organic anion transporter family member 1B1
Isoniazid	inhibits	Solute carrier organic anion transporter family member 1B3
(S)-Naringenin	inhibits	Cytochrome P450 1B1
(S)-Naringenin	inhibits	Cytochrome P450 2C19
(S)-Naringenin	inhibits	Cytochrome P450 3A4
(S)-Naringenin	inhibits	Solute carrier organic anion transporter family member 1B1
(S)-Naringenin	inhibits	Solute carrier organic anion transporter family member 1B3
Adenosine	inhibits	Solute carrier organic anion transporter family member 1B3
Adenosine	inhibits	Solute carrier organic anion transporter family member 1B1
Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B1
trans-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B1
cis-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B1
trans-caffeate	inhibits	Solute carrier organic anion transporter family member 1B1
Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
trans-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
cis-Caffeic acid	inhibits	Solute carrier organic anion transporter family member 1B3
trans-caffeate	inhibits	Solute carrier organic anion transporter family member 1B3
5,7-Dimethylchrysin	inhibits	Solute carrier organic anion transporter family member 1B3
5,7-Dimethylchrysin	inhibits	Solute carrier organic anion transporter family member 1B1
Phloretin	inhibits	Cytochrome P450 2C19
Phloretin	inhibits	Cytochrome P450 3A4
Phloretin	inhibits	Cytochrome P450 2C9
Phloretin	inhibits	Solute carrier organic anion transporter family member 1B3
Phloretin	inhibits	Solute carrier organic anion transporter family member 1B1
Myricetin	inhibits	Cytochrome P450 2C19
Myricetin 3-digalactoside	inhibits	Cytochrome P450 2C19
Myricetin	inhibits	Cytochrome P450 3A4
Myricetin 3-digalactoside	inhibits	Cytochrome P450 3A4
Myricetin	inhibits	Cytochrome P450 2C9
Myricetin 3-digalactoside	inhibits	Cytochrome P450 2C9
Myricetin	inhibits	Cytochrome P450 1A1
Myricetin 3-digalactoside	inhibits	Cytochrome P450 1A1
Myricetin	inhibits	Cytochrome P450 1B1
Myricetin 3-digalactoside	inhibits	Cytochrome P450 1B1
trans-resveratrol	inhibits	Cytochrome P450 3A4
trans-resveratrol	inhibits	Cytochrome P450 1A2
trans-resveratrol	inhibits	Cytochrome P450 2C19
trans-resveratrol	inhibits	Cytochrome P450 2C9
trans-resveratrol	inhibits	Solute carrier organic anion transporter family member 1B1
