head,relation,tail,weight,source,head_type,tail_type
Tannase,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Tannase,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Tannase,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Ellagic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Ellagic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
"1,2,3,4-Tetrahydro-beta-carboline",inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
"1,2,3,4-Tetrahydro-beta-carboline",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Tryptamine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Tryptamine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Imipramine,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Diazepam,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Estrogen,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Diethylstilbesterol,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Estrogen,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Diethylstilbesterol,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Cytochrome P450 1A2,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Xanthotoxin,inhibits,Cytochrome P450 1A1,1.0,chembl36,COMPOUND,TARGET
Verapamil,inhibits,ATP-dependent translocase ABCB1,1.0,chembl36,COMPOUND,TARGET
Verapamil,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
coumarin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
