head,relation,tail,weight,source,head_type,tail_type
Lepirudin,inhibits,F2,1.0,drugbank,DRUG,TARGET
Bivalirudin,inhibits,MPO,1.0,drugbank,DRUG,TARGET
Bivalirudin,inhibits,F2,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2a,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2a,activates,IFNAR2,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2a,activates,IFNAR1,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2a,modulates,IFNA2,1.0,drugbank,DRUG,TARGET
Alteplase,activates,PLG,1.0,drugbank,DRUG,TARGET
Alteplase,binds,FGA,1.0,drugbank,DRUG,TARGET
Alteplase,binds,FGG,1.0,drugbank,DRUG,TARGET
Alteplase,binds,SERPINE1,1.0,drugbank,DRUG,TARGET
Interferon alfa-n1,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Interferon alfa-n1,activates,IFNAR1,1.0,drugbank,DRUG,TARGET
Interferon alfa-n1,activates,IFNAR2,1.0,drugbank,DRUG,TARGET
Darbepoetin alfa,activates,EPOR,1.0,drugbank,DRUG,TARGET
Urokinase,substrate_of,MMP12,1.0,drugbank,DRUG,TARGET
Urokinase,activates,PLG,1.0,drugbank,DRUG,TARGET
Urokinase,induces,PLAUR,1.0,drugbank,DRUG,TARGET
Urokinase,modulates,PLAUR,1.0,drugbank,DRUG,TARGET
Urokinase,substrate_of,SERPINE1,1.0,drugbank,DRUG,TARGET
Urokinase,induces,SERPINE1,1.0,drugbank,DRUG,TARGET
Urokinase,substrate_of,SERPINB2,1.0,drugbank,DRUG,TARGET
Urokinase,induces,SERPINB2,1.0,drugbank,DRUG,TARGET
Urokinase,modulates,PLAU,1.0,drugbank,DRUG,TARGET
Urokinase,substrate_of,SERPINA5,1.0,drugbank,DRUG,TARGET
Urokinase,substrate_of,LRP2,1.0,drugbank,DRUG,TARGET
Urokinase,substrate_of,ST14,1.0,drugbank,DRUG,TARGET
Urokinase,binds,NID1,1.0,drugbank,DRUG,TARGET
Reteplase,activates,PLG,1.0,drugbank,DRUG,TARGET
Reteplase,binds,FGA,1.0,drugbank,DRUG,TARGET
Reteplase,binds,SERPINE1,1.0,drugbank,DRUG,TARGET
Erythropoietin,activates,EPOR,1.0,drugbank,DRUG,TARGET
Salmon calcitonin,activates,CALCR,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2b,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2b,inhibits,CYP2D6,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2b,induces,CYP2C9,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2b,activates,IFNAR1,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2b,activates,IFNAR2,1.0,drugbank,DRUG,TARGET
Peginterferon alfa-2b,modulates,IFNA2,1.0,drugbank,DRUG,TARGET
Anistreplase,activates,PLG,1.0,drugbank,DRUG,TARGET
Anistreplase,binds,FGA,1.0,drugbank,DRUG,TARGET
Anistreplase,binds,SERPINE1,1.0,drugbank,DRUG,TARGET
Insulin human,substrate_of,IDE,1.0,drugbank,DRUG,TARGET
Insulin human,activates,PCSK2,1.0,drugbank,DRUG,TARGET
Insulin human,activates,PCSK1,1.0,drugbank,DRUG,TARGET
Insulin human,induces,CYP1A2,1.0,drugbank,DRUG,TARGET
Insulin human,activates,INSR,1.0,drugbank,DRUG,TARGET
Insulin human,activates,IGF1R,1.0,drugbank,DRUG,TARGET
Insulin human,modulates,CPE,1.0,drugbank,DRUG,TARGET
Insulin human,binds,CCN3,1.0,drugbank,DRUG,TARGET
Insulin human,substrate_of,LRP2,1.0,drugbank,DRUG,TARGET
Insulin human,inhibits,IGFBP7,1.0,drugbank,DRUG,TARGET
Insulin human,binds,IGFBP7,1.0,drugbank,DRUG,TARGET
Tenecteplase,activates,PLG,1.0,drugbank,DRUG,TARGET
Interferon gamma-1b,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Interferon gamma-1b,binds,IFNGR1,1.0,drugbank,DRUG,TARGET
Interferon gamma-1b,binds,IFNGR2,1.0,drugbank,DRUG,TARGET
Interferon alfa-2a,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Interferon alfa-2a,binds,IFNAR1,1.0,drugbank,DRUG,TARGET
Interferon alfa-2a,binds,IFNAR2,1.0,drugbank,DRUG,TARGET
Abciximab,inhibits,ITGB3,1.0,drugbank,DRUG,TARGET
Abciximab,inhibits,ITGA2B,1.0,drugbank,DRUG,TARGET
Abciximab,binds,FCGR2A,1.0,drugbank,DRUG,TARGET
Abciximab,binds,FCGR2B,1.0,drugbank,DRUG,TARGET
Abciximab,binds,VTN,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,inhibits,F8,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,inhibits,F5,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,SERPINE1,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,THBD,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,PROS1,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,F2,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,PF4,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,SERPINA5,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,SERPINB6,1.0,drugbank,DRUG,TARGET
Drotrecogin alfa,binds,PROCR,1.0,drugbank,DRUG,TARGET
Pegaspargase,inhibits,SERPINA7,1.0,drugbank,DRUG,TARGET
Interferon beta-1a,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Interferon beta-1a,activates,IFNAR1,1.0,drugbank,DRUG,TARGET
Interferon beta-1a,activates,IFNAR2,1.0,drugbank,DRUG,TARGET
Interferon beta-1a,modulates,IFNB1,1.0,drugbank,DRUG,TARGET
Eptifibatide,modulates,ITGB3,1.0,drugbank,DRUG,TARGET
Eptifibatide,modulates,ITGA2B,1.0,drugbank,DRUG,TARGET
Eptifibatide,inhibits,CACNA2D1,1.0,drugbank,DRUG,TARGET
Interferon beta-1b,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Interferon beta-1b,activates,IFNAR1,1.0,drugbank,DRUG,TARGET
Interferon beta-1b,activates,IFNAR2,1.0,drugbank,DRUG,TARGET
Insulin pork,induces,CYP1A2,1.0,drugbank,DRUG,TARGET
Insulin pork,substrate_of,IDE,1.0,drugbank,DRUG,TARGET
Insulin pork,binds,INSR,1.0,drugbank,DRUG,TARGET
Insulin pork,binds,IGF1R,1.0,drugbank,DRUG,TARGET
Ibritumomab tiuxetan,binds,MS4A1,1.0,drugbank,DRUG,TARGET
Streptokinase,induces,PLA2G4A,1.0,drugbank,DRUG,TARGET
Streptokinase,activates,PLG,1.0,drugbank,DRUG,TARGET
Streptokinase,activates,F2R,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,CYP2C19,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,CYP2D6,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,CYP3A5,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,CYP3A4,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,CYP3A4,1.0,drugbank,DRUG,TARGET
Cyclosporine,binds,CAMLG,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,PPP3R2,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,PPIA,1.0,drugbank,DRUG,TARGET
Cyclosporine,binds,PPIA,1.0,drugbank,DRUG,TARGET
Cyclosporine,binds,PPIF,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,PPP3CA,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,ABCB1,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,ABCB1,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,ABCB11,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,ABCB11,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,SLC10A2,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,SLC10A1,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,SLC22A6,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,SLC22A6,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,ABCC10,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,ABCC10,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,ABCC2,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,ABCG2,1.0,drugbank,DRUG,TARGET
Cyclosporine,substrate_of,SLCO1B1,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,SLCO1B1,1.0,drugbank,DRUG,TARGET
Cyclosporine,inhibits,SLCO1B3,1.0,drugbank,DRUG,TARGET
Octreotide,inhibits,MPO,1.0,drugbank,DRUG,TARGET
Octreotide,inhibits,CYP3A4,1.0,drugbank,DRUG,TARGET
Octreotide,binds,SSTR2,1.0,drugbank,DRUG,TARGET
Octreotide,substrate_of,ABCB1,1.0,drugbank,DRUG,TARGET
Octreotide,substrate_of,ABCC2,1.0,drugbank,DRUG,TARGET
Octreotide,inhibits,ABCC2,1.0,drugbank,DRUG,TARGET
Octreotide,binds,ALB,1.0,drugbank,DRUG,TARGET
Interferon alfa-2b,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
Interferon alfa-2b,binds,IFNAR2,1.0,drugbank,DRUG,TARGET
Interferon alfa-2b,binds,IFNAR1,1.0,drugbank,DRUG,TARGET
Interferon alfa-2b,modulates,IFNA2,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,substrate_of,MMAB,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,cobU,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,MTR,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,MMUT,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,MTRR,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,MMAA,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,MMACHC,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,MTHFR,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,substrate_of,AMN,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,substrate_of,TCN1,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,substrate_of,TCN2,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,substrate_of,CBLIF,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,substrate_of,CUBN,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,LRP2,1.0,drugbank,DRUG,TARGET
Cyanocobalamin,binds,ABCC1,1.0,drugbank,DRUG,TARGET
Biotin,induces,CYP1B1,1.0,drugbank,DRUG,TARGET
Biotin,binds,PCCB,1.0,drugbank,DRUG,TARGET
Biotin,substrate_of,HLCS,1.0,drugbank,DRUG,TARGET
Biotin,binds,MCCC2,1.0,drugbank,DRUG,TARGET
Biotin,binds,ACACB,1.0,drugbank,DRUG,TARGET
Biotin,binds,MCCC1,1.0,drugbank,DRUG,TARGET
Biotin,binds,PC,1.0,drugbank,DRUG,TARGET
Biotin,binds,PCCA,1.0,drugbank,DRUG,TARGET
Biotin,binds,ACACA,1.0,drugbank,DRUG,TARGET
Biotin,substrate_of,SLC5A6,1.0,drugbank,DRUG,TARGET
Biotin,substrate_of,SLC5A8,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,TXNRD1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,modulates,SLC23A1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,modulates,SLC23A2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,xylA,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,PLOD2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,PHYH,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,PLOD3,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,BBOX1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,DBH,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,PAM,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,P3H1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,P3H2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,P3H3,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,P4HA1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,OGFOD1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,OGFOD2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,activates,ALKBH2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,activates,ALKBH3,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,KDM5D,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,PLOD1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,TMLHE,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,P4HTM,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,EGLN1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,EGLN2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,EGLN3,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,SLC23A1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,SLC23A2,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,SLC2A1,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,SLC2A3,1.0,drugbank,DRUG,TARGET
Ascorbic acid,substrate_of,SLC2A4,1.0,drugbank,DRUG,TARGET
Ascorbic acid,binds,ALB,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,F13A1,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,GLS,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,GLS2,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,TGM2,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,TGM5,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,TGM6,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,TGM1,1.0,drugbank,DRUG,TARGET
