drug_name,category
"(S)-3,5-Dihydroxyphenylglycine",pharmaceutical
"1,2-Dimethyl Hydrazine",pharmaceutical
"1,25-Dihydroxyvitamin D",pharmaceutical
"2,2-Azinobis[3-Ethylbenzthiazoline]-6-Sulfonic Acid",pharmaceutical
"2,2-Diphenyl-1-Picrylhydrazyl",pharmaceutical
"2-amino-1-methyl-6-phenylimidazo4,5-Bpyridine",pharmaceutical
"7,12-Dimethylbenz[Α]Anthracene",pharmaceutical
"7,12-Dimethylbenzaanthracene",pharmaceutical
abiraterone,pharmaceutical
acarbose,pharmaceutical
acebutolol,pharmaceutical
acenocoumarol,pharmaceutical
acetaminophen,pharmaceutical
acetylsalicylic acid,pharmaceutical
actinomycin D,pharmaceutical
adenosine,pharmaceutical
albendazole,pharmaceutical
amantadine,pharmaceutical
amiloride,pharmaceutical
amiodarone,pharmaceutical
amitriptyline,pharmaceutical
amoxicillin,pharmaceutical
amoxicillin/clavulanic acid,pharmaceutical
amphotericin B,pharmaceutical
ampicillin,pharmaceutical
amrinone,pharmaceutical
arbekacin,pharmaceutical
artemisinin,pharmaceutical
aspirin,pharmaceutical
atenolol,pharmaceutical
atorvastatin,pharmaceutical
atropine,pharmaceutical
bacampicillin,pharmaceutical
bacitracin,pharmaceutical
betaine,pharmaceutical
bleomycin,pharmaceutical
bupropion,pharmaceutical
caffeine,pharmaceutical
calcitriol,pharmaceutical
capecitabine,pharmaceutical
captopril,pharmaceutical
carbamazepine,pharmaceutical
carboplatin,pharmaceutical
cefmetazole,pharmaceutical
cefoperazone,pharmaceutical
cefoxitin,pharmaceutical
cefuroxime,pharmaceutical
celiprolol,pharmaceutical
chloramphenicol,pharmaceutical
chloroquine,pharmaceutical
chlorzoxazone,pharmaceutical
cilostazol,pharmaceutical
cimetidine,pharmaceutical
ciprofloxacin,pharmaceutical
cisplatin,pharmaceutical
clarithromycin,pharmaceutical
clomipramine,pharmaceutical
clonidine,pharmaceutical
