drug_id,drug_name,category,dual_role,notes
(S)-3,5-Dihydroxyphenylglycine,pharmaceutical,,
(acebutolol,,pharmaceutical,,Enantiomer/variant of: 
1,2-Dimethyl Hydrazine,pharmaceutical,,
1,25-Dihydroxyvitamin D,pharmaceutical,,
1-methylnicotiamide,,pharmaceutical,,Enantiomer/variant of: 
17-hydroxyprogesterone,,pharmaceutical,,Enantiomer/variant of: 
2'-azinobis-3-ethylbenzothiazoline-6-sulfonic acid,,pharmaceutical,,Enantiomer/variant of: 
2,2-Azinobis[3-Ethylbenzthiazoline]-6-Sulfonic Acid,pharmaceutical,,
2,2-Diphenyl-1-Picrylhydrazyl,pharmaceutical,,
2-amino-1-methyl-6-phenylimidazo4,5-Bpyridine,pharmaceutical,,
22R-hydroxycholesterol,,pharmaceutical,,Enantiomer/variant of: 
25-hydroxyvitamin D,,pharmaceutical,,Enantiomer/variant of: 
25-hydroyvitamin D,,pharmaceutical,,Enantiomer/variant of: 
4-chloro-DL-phenylalanine methyl ester hydrochloride,,pharmaceutical,,Enantiomer/variant of: 
5-FLU,,pharmaceutical,,Enantiomer/variant of: 
5-FU,,pharmaceutical,,Enantiomer/variant of: 
5-Fluorouracil,,pharmaceutical,,Enantiomer/variant of: 
5-HIAA,,pharmaceutical,,Enantiomer/variant of: 
5-fluorouracil,,pharmaceutical,,Enantiomer/variant of: 
5-hydroxyindole acetic acid,,pharmaceutical,,Enantiomer/variant of: 
6beta-hydroxycortisol,,pharmaceutical,,Enantiomer/variant of: 
7,12-Dimethylbenz[Α]Anthracene,pharmaceutical,,
7,12-Dimethylbenzaanthracene,pharmaceutical,,
ABTS,,pharmaceutical,,Enantiomer/variant of: 
ACh,,pharmaceutical,,Enantiomer/variant of: 
AChE,,pharmaceutical,,Enantiomer/variant of: 
AGII,,pharmaceutical,,Enantiomer/variant of: 
ALP,,pharmaceutical,,Enantiomer/variant of: 
ALT,,pharmaceutical,,Enantiomer/variant of: 
AMB,,pharmaceutical,,Enantiomer/variant of: 
AMPT,,pharmaceutical,,Enantiomer/variant of: 
AMX,,pharmaceutical,,Enantiomer/variant of: 
APAP,,pharmaceutical,,Enantiomer/variant of: 
ASA,,pharmaceutical,,Enantiomer/variant of: 
AST,,pharmaceutical,,Enantiomer/variant of: 
AZT,,pharmaceutical,,Enantiomer/variant of: 
Acetylcholine,,pharmaceutical,,Enantiomer/variant of: 
Ach,,pharmaceutical,,Enantiomer/variant of: 
AchE,,pharmaceutical,,Enantiomer/variant of: 
Adriamycin,,pharmaceutical,,Enantiomer/variant of: 
Ag,,pharmaceutical,,Enantiomer/variant of: 
Ag-nanoparticles,,pharmaceutical,,Enantiomer/variant of: 
Al,,pharmaceutical,,Enantiomer/variant of: 
AlCl3,,pharmaceutical,,Enantiomer/variant of: 
Aluminum,,pharmaceutical,,Enantiomer/variant of: 
Am,,pharmaceutical,,Enantiomer/variant of: 
Ambrisentan,,pharmaceutical,,Enantiomer/variant of: 
Amitriptyline,,pharmaceutical,,Enantiomer/variant of: 
Amp B,,pharmaceutical,,Enantiomer/variant of: 
Amrinone,,pharmaceutical,,Enantiomer/variant of: 
Ang II,,pharmaceutical,,Enantiomer/variant of: 
Arginine,,pharmaceutical,,Enantiomer/variant of: 
Arsenic,,pharmaceutical,,Enantiomer/variant of: 
Artemisinin,,pharmaceutical,,Enantiomer/variant of: 
As(III),,pharmaceutical,,Enantiomer/variant of: 
As3+,,pharmaceutical,,Enantiomer/variant of: 
Atenolol,,pharmaceutical,,Enantiomer/variant of: 
BChE,,pharmaceutical,,Enantiomer/variant of: 
BLM,,pharmaceutical,,Enantiomer/variant of: 
BSA,,pharmaceutical,,Enantiomer/variant of: 
Bacampicillin,,pharmaceutical,,Enantiomer/variant of: 
Bleomycin,,pharmaceutical,,Enantiomer/variant of: 
BoNT/A,,pharmaceutical,,Enantiomer/variant of: 
BoNTs,,pharmaceutical,,Enantiomer/variant of: 
Both drugs,,pharmaceutical,,Enantiomer/variant of: 
Botulinum neurotoxin type A,,pharmaceutical,,Enantiomer/variant of: 
BuChE,,pharmaceutical,,Enantiomer/variant of: 
Bupropion,,pharmaceutical,,Enantiomer/variant of: 
C-peptide,,pharmaceutical,,Enantiomer/variant of: 
CARB,,pharmaceutical,,Enantiomer/variant of: 
CAT,,pharmaceutical,,Enantiomer/variant of: 
CB,,pharmaceutical,,Enantiomer/variant of: 
CBZ,,pharmaceutical,,Enantiomer/variant of: 
CCl4,,pharmaceutical,,Enantiomer/variant of: 
CD,,pharmaceutical,,Enantiomer/variant of: 
CHL,,pharmaceutical,,Enantiomer/variant of: 
CIP,,pharmaceutical,,Enantiomer/variant of: 
CIS,,pharmaceutical,,Enantiomer/variant of: 
CLA,,pharmaceutical,,Enantiomer/variant of: 
CORT,,pharmaceutical,,Enantiomer/variant of: 
CP,,pharmaceutical,,Enantiomer/variant of: 
CPA,,pharmaceutical,,Enantiomer/variant of: 
CTX,,pharmaceutical,,Enantiomer/variant of: 
Ca,,pharmaceutical,,Enantiomer/variant of: 
Ca(2+),,pharmaceutical,,Enantiomer/variant of: 
Ca++,,pharmaceutical,,Enantiomer/variant of: 
Ca2,,pharmaceutical,,Enantiomer/variant of: 
Ca2+ channel blocker,,pharmaceutical,,Enantiomer/variant of: 
