drug_id,drug_name,category,notes
0,(R)-Warfarin,pharmaceutical,Stereoisomer - R-enantiomer
1,(S)-Warfarin,pharmaceutical,Stereoisomer - S-enantiomer
2,Abacavir,pharmaceutical,
3,Abaloparatide,pharmaceutical,
4,Abciximab,pharmaceutical,
5,Abemaciclib,pharmaceutical,
6,Abiraterone,pharmaceutical,
7,Abrocitinib,pharmaceutical,
8,Acalabrutinib,pharmaceutical,
9,Acamprosate,pharmaceutical,
10,Acarbose,pharmaceutical,
11,Acebutolol,pharmaceutical,
12,Aceclofenac,pharmaceutical,
13,Acenocoumarol,pharmaceutical,
14,Acepromazine,pharmaceutical,
15,Acetaminophen,pharmaceutical,
16,Acetazolamide,pharmaceutical,
17,Acetohexamide,pharmaceutical,
18,Acetohydroxamic Acid,pharmaceutical,
19,Acetylsalicylic Acid,pharmaceutical,
20,Acitretin,pharmaceutical,
21,Activated Charcoal,pharmaceutical,
22,Acyclovir,pharmaceutical,
23,Adagrasib,pharmaceutical,
24,Adefovir Dipivoxil,pharmaceutical,
25,Adenosine,pharmaceutical,
26,Afatinib,pharmaceutical,
27,Albendazole,pharmaceutical,
28,Alcloxa,pharmaceutical,
29,Alectinib,pharmaceutical,
30,Alendronic Acid,pharmaceutical,
31,Alfacalcidol,biological,
32,Alfuzosin,pharmaceutical,
33,Alimemazine,pharmaceutical,
34,Aliskiren,pharmaceutical,
35,Alitretinoin,pharmaceutical,
36,Allopurinol,pharmaceutical,
37,Almasilate,pharmaceutical,
38,Almotriptan,pharmaceutical,
39,Alogliptin,pharmaceutical,
40,Alosetron,pharmaceutical,
41,Alpelisib,pharmaceutical,
42,Alprazolam,pharmaceutical,
43,Alteplase,pharmaceutical,
44,Altretamine,pharmaceutical,
45,Aluminum Hydroxide,pharmaceutical,
46,Alvimopan,pharmaceutical,
47,Amantadine,pharmaceutical,
48,Amediplase,pharmaceutical,
49,Amifampridine,pharmaceutical,
50,Amiloride,pharmaceutical,
51,Amineptine,pharmaceutical,
52,Aminocaproic Acid,pharmaceutical,
53,Aminoglutethimide,pharmaceutical,
54,Aminophylline,pharmaceutical,
55,Aminosalicylic Acid,pharmaceutical,
56,Amiodarone,pharmaceutical,
57,Amisulpride,pharmaceutical,
58,Amitriptyline,pharmaceutical,
59,Amlodipine,pharmaceutical,
60,Amobarbital,pharmaceutical,
61,Amoxapine,pharmaceutical,
