TM_interactions_ID,texts_ID,start_index,end_index,food,drug
0,0,0,116,Grapefruit,abemaciclib
2,0,2289,2392,grapefruit,abemaciclib
3,2,385,641,grapefruit,fentanyl
4,2,643,846,grapefruit,fentanyl
5,2,1953,2155,grapefruit,fentanyl
6,7,0,203,grapefruit,paclitaxel
7,7,987,1146,grapefruit,docetaxel
8,7,1536,1652,grapefruit,paclitaxel
11,13,0,139,ethanol,dextromethorphan
12,13,274,380,ethanol,dextromethorphan
13,14,155,237,calcium,tetracycline
19,15,1002,1176,iron,tetracycline
20,15,1002,1176,iron,doxycycline
21,15,1178,1293,iron,doxycycline
22,15,1295,1565,iron,doxycycline
25,19,0,115,Grapefruit,acalabrutinib
27,19,2007,2112,grapefruit,acalabrutinib
40,24,386,473,Grapefruit,oxycodone
41,24,475,811,grapefruit,oxycodone
43,24,2043,2254,grapefruit,oxycodone
44,28,1162,1251,Grapefruit,hydrocodone
51,33,118,246,calcium,oxalic acid
52,33,325,457,calcium,oxalic acid
53,33,325,457,calcium,phytic acid
61,40,343,419,tea,Risperidone
69,47,0,198,grapefruit,lovastatin
70,47,0,198,grapefruit,simvastatin
71,47,343,571,grapefruit,simvastatin
72,47,573,769,grapefruit,simvastatin
75,47,1545,1631,green tea,simvastatin
77,47,1847,2022,green tea,simvastatin
79,47,2455,2538,green tea,simvastatin
82,47,4126,4320,grapefruit,lovastatin
83,47,4126,4320,grapefruit,simvastatin
85,49,690,787,grapefruit,nifedipine
86,49,690,787,grapefruit,nisoldipine
93,52,1604,1786,folic acid,capecitabine
97,56,1096,1260,grapefruit,tadalafil
98,57,0,113,Grapefruit,flibanserin
99,57,258,539,grapefruit,flibanserin
100,57,2566,2711,grapefruit,flibanserin
101,57,2713,2959,grapefruit,flibanserin
102,59,615,805,grapefruit,amprenavir
103,60,285,610,caffeine,dipyridamole
104,61,0,118,grapefruit,amlodipine
106,62,0,195,apple,aliskiren
107,62,0,195,grapefruit,aliskiren
108,62,197,486,fruit juice,aliskiren
110,62,488,819,apple,aliskiren
112,62,1313,1629,grapefruit,aliskiren
115,66,0,200,grapefruit,fexofenadine
117,66,0,200,apple,fexofenadine
118,66,372,767,grapefruit,fexofenadine
120,66,372,767,apple,fexofenadine
121,66,888,1122,grapefruit,fexofenadine
125,69,0,188,grapefruit,loratadine
126,70,0,141,green tea,nadolol
128,70,308,610,green tea,nadolol
129,70,661,743,tea,nadolol
130,70,744,902,green tea,nadolol
131,71,84,234,beta-carotene,orlistat
133,73,199,354,iron,methyldopa
134,74,1078,1310,Grapefruit,albendazole
135,74,1455,1771,grapefruit,albendazole
136,75,0,115,Grapefruit,brigatinib
138,75,1454,1556,grapefruit,brigatinib
140,78,0,146,Grapefruit,amiodarone
141,78,292,600,grapefruit,amiodarone
144,78,1768,1880,grapefruit,amiodarone
147,80,336,642,grapefruit,clarithromycin
149,81,0,139,grapefruit,atorvastatin
150,81,284,490,grapefruit,atorvastatin
153,81,1322,1463,grapefruit,atorvastatin
156,84,0,247,ethanol,fomepizole
157,84,305,389,ethanol,fomepizole
158,84,391,514,ethanol,fomepizole
162,90,262,439,grapefruit,carbamazepine
163,91,122,284,ethanol,apomorphine
166,94,0,154,grapefruit,artemether
167,94,0,154,grapefruit,lumefantrine
171,97,0,256,grapefruit,hydroxychloroquine
172,97,0,256,grapefruit,chloroquine
177,102,0,170,atropine,obidoxime
178,102,172,488,atropine,pralidoxime
179,102,584,754,atropine,Pralidoxime
182,106,0,113,Grapefruit,avapritinib
184,106,1954,2057,grapefruit,avapritinib
187,107,1941,2104,grapefruit,avanafil
188,107,2630,2735,grapefruit,avanafil
191,108,472,853,aluminum,ciprofloxacin
204,118,500,598,Grapefruit,suvorexant
205,119,856,949,grapefruit,praziquantel
206,119,1102,1368,grapefruit,praziquantel
207,119,1421,1550,grapefruit,praziquantel
208,119,1648,1820,grapefruit,praziquantel
209,120,0,239,aluminum,bictegravir
210,120,0,239,calcium,bictegravir
211,120,0,239,iron,bictegravir
213,120,2234,2381,aluminum,bictegravir
214,120,2234,2381,calcium,bictegravir
215,120,2504,2664,calcium,bictegravir
216,120,2504,2664,iron,bictegravir
217,121,0,219,zinc,cephalexin
218,121,0,219,zinc,ceftibuten
220,123,239,488,water,ibandronate
