food_id,canonical_name,aliases,dual_role,category
0,(-)-Carvone,,,botanical
1,Acetic Acid,,,botanical
2,Acorn,,,botanical
3,Acorus Gramineus,,,botanical
4,Aegle Marmelos,,,botanical
5,Silver,,,elemental
6,Agave,,,botanical
7,Ak,,,unresolved_abbreviation
8,Alaska Pollock,,,botanical
9,Ale,,,botanical
10,Alga Gracilaria Caudata,,,botanical
11,Amaranthus Tricolor,A. Tricolor; Red Spinach,,botanical
12,Amfe,,,botanical
13,Amlaki,,,botanical
14,Anetheum Graveolens,,,botanical
15,Angelica Dahurica,,,botanical
16,Angelica Keiskei,,,botanical
17,Anise Myrtle,,,botanical
18,Anthocyanins,,,botanical
19,Apios Americana,,,botanical
20,Appd,,,botanical
21,Apple,,,botanical
22,Apple Condensed Tannin,,,botanical
23,Apple Sauce,,,botanical
24,Araceae,,,botanical
25,Arctostaphylos Uva-Ursi,Arbutin; Bearberry Leaf; Uvae Ursi,,botanical
26,Aronia Melanocarpa,,,botanical
27,Ashwagandha,,,botanical
28,Asparagus Officinalis,A. Officinalis,,botanical
29,Auraptene,,,botanical
30,Azadirachta Indica,A. Indica,,botanical
31,Barium,,,elemental
32,Bae,,,botanical
33,Balanites Aegyptiaca,,,botanical
34,Banana,,,botanical
35,Bb,,,unresolved_abbreviation
36,Bc,,,unresolved_abbreviation
37,Beef Tallow,,,botanical
38,Beer,,,botanical
39,Beo,,,botanical
40,Berberine,Barberry Crude Extract; Barberry Ethanolic Extract; Barberry Extract; Bbr; Berberine Chloride; Berberis Crude Extract; Berberis Vulgaris,yes,botanical
41,Bergamot Essential Oil,,,botanical
42,Bergamot Juice,,,botanical
43,Bj,,,unresolved_abbreviation
44,Blackcurrant,,,botanical
45,Blueberry,,,botanical
46,Blueberry Anthocyanins-Enriched Extract,,,botanical
47,Bmle,,,botanical
48,Boesenbergia Rotunda Rhizomes,,,botanical
49,Brassica Sprout,,,botanical
50,Broccoli,,,botanical
51,Brown Algae,,,botanical
52,Brussels Sprouts,,,botanical
53,Bs,,,unresolved_abbreviation
54,Buckwheat Protein Extract,,,botanical
55,Budo-No-Megumi,,,botanical
56,Bwpe,,,botanical
57,C-Phycocyanin Complex,,,formulation
58,C-Phycocyanin,,,botanical
59,C. Chanroenicum,,,botanical
60,C. Zeylaniucm,,,botanical
61,Caffeic Acid,,,botanical
62,Cajanus,,,botanical
63,Calcitonin,,,botanical
64,Canola,,,botanical
65,Capsaicin,,,botanical
66,Carrageenan,,,botanical
67,Carrots,,,botanical
68,Castor,,,botanical
69,Ce,,,unresolved_abbreviation
70,Celery,,,botanical
71,Chamomile,Chamomile Essential Oi,,botanical
72,Cheese,,,botanical
73,Chelerythrine,,,botanical
74,Chelidonine,,,botanical
75,Chenopodium,,,botanical
76,Cherries,Cherry,,botanical
77,Chicken,,,botanical
78,Chinese Parsley,,,botanical
79,Chitosan,,,botanical
80,Chuan Lian,,,botanical
81,Cichorium Intybus,,,botanical
82,Cinnamomum,,,botanical
83,Cinnamomum Zeylanicum,,,botanical
84,Cirsium,,,botanical
85,Cirsium Chanroenicum,,,botanical
86,Citrullus Vulgaris,,,botanical
87,Citrus Juices,,,botanical
88,Citrus Leaf Extract,,,botanical
89,Citrus Reticulate,Citrus Unshiu; Mandarin Juice,,botanical
