drug_name,food_name
(R)-warfarin,anticoagulant herbs
(R)-warfarin,garlic
(R)-warfarin,ginger
(R)-warfarin,ginkgo biloba
(R)-warfarin,grapefruit
(R)-warfarin,st. john's wort
(R)-warfarin,vitamin K
(S)-Warfarin,anticoagulant herbs
(S)-Warfarin,garlic
(S)-Warfarin,ginger
(S)-Warfarin,ginkgo biloba
(S)-Warfarin,vitamin K
Abacavir,alcohol
Abaloparatide,calcium-rich foods
Abaloparatide,vitamin D
Abciximab,anticoagulant herbs
Abciximab,garlic
Abciximab,ginger
Abciximab,ginkgo biloba
Abciximab,ginseng
Abemaciclib,grapefruit
Abemaciclib,st. john's wort
Abiraterone,st. john's wort
Acalabrutinib,grapefruit
Acalabrutinib,st. john's wort
Acenocoumarol,anticoagulant herbs
Acenocoumarol,garlic
Acenocoumarol,ginger
Acenocoumarol,ginkgo biloba
Acenocoumarol,kale
Acenocoumarol,spinach
Acenocoumarol,st. john's wort
Acenocoumarol,vitamin K
Acepromazine,alcohol
Acetaminophen,alcohol
Acetohexamide,alcohol
Acetohydroxamic acid,alcohol
Acetohydroxamic acid,iron
Acetohydroxamic acid,iron supplements
Acetylsalicylic acid,alcohol
Acetylsalicylic acid,anticoagulant herbs
Acetylsalicylic acid,garlic
Acetylsalicylic acid,ginger
Acetylsalicylic acid,ginkgo biloba
Acitretin,alcohol
Adenosine,caffeine
Alectinib,grapefruit
Alectinib,st. john's wort
Alendronic acid,calcium-rich foods
Alendronic acid,vitamin D
Alimemazine,alcohol
Aliskiren,high-fat foods
Allopurinol,alcohol
Alpelisib,st. john's wort
Alprazolam,alcohol
Alprazolam,caffeine
Alprazolam,grapefruit
Alteplase,anticoagulant herbs
Alteplase,garlic
Alteplase,ginger
Alteplase,ginkgo biloba
Amantadine,alcohol
Amediplase,anticoagulant herbs
Amediplase,garlic
Amediplase,ginger
Amediplase,ginkgo biloba
Amiloride,natural licorice
Amiloride,potassium-rich foods
Amineptine,alcohol
Amineptine,caffeine
Amineptine,st. john's wort
Aminophylline,alcohol
Aminophylline,caffeine
Aminophylline,grapefruit
Aminophylline,st. john's wort
Aminophylline,vitamin B6 (pyridoxine)
Amiodarone,grapefruit
Amiodarone,st. john's wort
Amisulpride,alcohol
Amitriptyline,alcohol
Amitriptyline,caffeine
Amitriptyline,st. john's wort
Amlodipine,grapefruit
Amlodipine,natural licorice
Amobarbital,alcohol
Amoxapine,alcohol
Amprenavir,alcohol
Amprenavir,high-fat foods
Amyl Nitrite,alcohol
Ancrod,anticoagulant herbs
Ancrod,garlic
Ancrod,ginger
Ancrod,ginkgo biloba
Anistreplase,anticoagulant herbs
Anistreplase,garlic
Anistreplase,ginger
Anistreplase,ginkgo biloba
Antithrombin Alfa,anticoagulant herbs
Antithrombin Alfa,garlic
Antithrombin Alfa,ginger
Antithrombin Alfa,ginkgo biloba
Antithrombin III human,anticoagulant herbs
Antithrombin III human,garlic
Antithrombin III human,ginger
Antithrombin III human,ginkgo biloba
Apixaban,anticoagulant herbs
Apixaban,garlic
Apixaban,ginger
Apixaban,ginkgo biloba
Apixaban,grapefruit
Apixaban,st. john's wort
Apomorphine,alcohol
Apremilast,st. john's wort
Ardeparin,anticoagulant herbs
Ardeparin,garlic
Ardeparin,ginger
Ardeparin,ginkgo biloba
Ardeparin,ginseng
Argatroban,anticoagulant herbs
Argatroban,garlic
Argatroban,ginger
Argatroban,ginkgo biloba
Argatroban,grapefruit
Argatroban,st. john's wort
Aripiprazole,alcohol
Armodafinil,alcohol
Armodafinil,grapefruit
Armodafinil,st. john's wort
Artemether,grapefruit
Asunaprevir,grapefruit
Asunaprevir,st. john's wort
Atorvastatin,grapefruit
Atrasentan,st. john's wort
Atropine,alcohol
Avanafil,alcohol
Avapritinib,grapefruit
Avapritinib,st. john's wort
Axitinib,grapefruit
Axitinib,st. john's wort
Azatadine,alcohol
Azelaic acid,alcohol
Azelastine,alcohol
Baclofen,alcohol
Baloxavir marboxil,calcium-rich foods
Baloxavir marboxil,dairy
Baloxavir marboxil,magnesium
Baloxavir marboxil,milk
Bazedoxifene,calcium supplements
Bazedoxifene,calcium-rich foods
Bazedoxifene,vitamin D
Bedaquiline,alcohol
Bemiparin,anticoagulant herbs
Bemiparin,garlic
Bemiparin,ginger
Bemiparin,ginkgo biloba
Benazepril,potassium-rich foods
Benzatropine,alcohol
Benzgalantamine,alcohol
Benzhydrocodone,alcohol
Benzphetamine,caffeine
Bepridil,alcohol
Beraprost,anticoagulant herbs
Beraprost,garlic
Beraprost,ginger
Beraprost,ginkgo biloba
Betrixaban,anticoagulant herbs
Betrixaban,garlic
Betrixaban,ginger
Betrixaban,ginkgo biloba
Bictegravir,magnesium
Bictegravir,st. john's wort
Bilastine,fruit juice
Bilastine,grapefruit
Biotin,avidin (raw egg white)
Biperiden,alcohol
Bisacodyl,dairy
Bisacodyl,milk
Bismuth subcitrate potassium,alcohol
Bivalirudin,anticoagulant herbs
Bivalirudin,echinacea
Bivalirudin,garlic
Bivalirudin,ginger
Bivalirudin,ginkgo biloba
Bortezomib,citrus
Bortezomib,flavonoid-rich foods
Bortezomib,grapefruit
Bortezomib,green tea
Bortezomib,st. john's wort
Bortezomib,tea
Bortezomib,vitamin C
Bosutinib,grapefruit
Bosutinib,st. john's wort
Brentuximab vedotin,grapefruit
Brentuximab vedotin,st. john's wort
Brexanolone,alcohol
Brexpiprazole,st. john's wort
Brigatinib,grapefruit
Brigatinib,st. john's wort
Brimonidine,alcohol
Brivaracetam,alcohol
Bromazepam,alcohol
Bromocriptine,alcohol
Brompheniramine,alcohol
Buprenorphine,alcohol
Buprenorphine,grapefruit
Bupropion,alcohol
Buspirone,alcohol
Buspirone,grapefruit
Busulfan,grapefruit
Busulfan,st. john's wort
Butabarbital,alcohol
Butalbital,alcohol
Butorphanol,alcohol
Cabazitaxel,grapefruit
Cabazitaxel,st. john's wort
Cabergoline,grapefruit
Cabergoline,st. john's wort
Cabozantinib,grapefruit
Cabozantinib,st. john's wort
Canagliflozin,alcohol
Cangrelor,anticoagulant herbs
Cangrelor,garlic
Cangrelor,ginger
Cangrelor,ginkgo biloba
Cannabidiol,alcohol
Cannabidiol,grapefruit
Cannabidiol,st. john's wort
Captopril,ephedra
Captopril,high-salt foods
Captopril,natural licorice
Captopril,potassium-rich foods
Carbamazepine,alcohol
Carbamazepine,grapefruit
Carbamazepine,st. john's wort
Carbinoxamine,alcohol
Carboplatin,echinacea
Cariprazine,alcohol
Cariprazine,grapefruit
Cariprazine,st. john's wort
Carisoprodol,alcohol
Carmustine,echinacea
Cefamandole,alcohol
Cefdinir,iron
Cefdinir,magnesium
Cefditoren,magnesium
Cefoperazone,alcohol
Cefotetan,alcohol
Celecoxib,alcohol
Celecoxib,magnesium
Celiprolol,fruit juice
Celiprolol,grapefruit
Celiprolol,orange juice
Cenobamate,alcohol
Ceritinib,grapefruit
Ceritinib,st. john's wort
Cerivastatin,grapefruit
Certoparin,anticoagulant herbs
Certoparin,garlic
Certoparin,ginger
Certoparin,ginkgo biloba
Cetirizine,alcohol
Chloral hydrate,alcohol
Chlorambucil,echinacea
Chlorcyclizine,alcohol
Chlordiazepoxide,alcohol
Chlorpheniramine,alcohol
Chlorpromazine,alcohol
Chlorpropamide,alcohol
Chlorprothixene,alcohol
Chlorzoxazone,alcohol
Chromic chloride,chromium
Chromic chloride,niacin (vitamin B3)
Chromium,chromium
Chromium,niacin (vitamin B3)
Chromium nicotinate,chromium
Chromium nicotinate,niacin (vitamin B3)
Chromium picolinate,chromium
Chromium picolinate,niacin (vitamin B3)
Cilostazol,grapefruit
Cinolazepam,alcohol
Cinolazepam,caffeine
Ciprofloxacin,caffeine
Ciprofloxacin,calcium-rich foods
Ciprofloxacin,dairy
Ciprofloxacin,milk
Cisapride,grapefruit
Cisapride,st. john's wort
Cisplatin,echinacea
Citalopram,alcohol
Citalopram,st. john's wort
Clemastine,alcohol
Clidinium,alcohol
Clobazam,alcohol
Clofarabine,echinacea
Clofedanol,alcohol
Clomipramine,alcohol
Clomipramine,grapefruit
Clonazepam,alcohol
Clonazepam,caffeine
Clonidine,alcohol
Clorazepic acid,alcohol
Clorindione,anticoagulant herbs
Clorindione,garlic
Clorindione,ginger
Clorindione,ginkgo biloba
Cloxazolam,alcohol
Clozapine,alcohol
Clozapine,caffeine
Clozapine,st. john's wort
Cobicistat,st. john's wort
Cobimetinib,grapefruit
Cobimetinib,st. john's wort
Codeine,alcohol
Copanlisib,grapefruit
Copanlisib,st. john's wort
Coumarin,anticoagulant herbs
Coumarin,garlic
Coumarin,ginger
Coumarin,ginkgo biloba
Coumarin,vitamin K
Crizotinib,grapefruit
Crizotinib,st. john's wort
Cyclizine,alcohol
Cyclobenzaprine,alcohol
Cycloserine,high-fat foods
Cyclosporine,grapefruit
Cyclosporine,potassium-rich foods
Cyclosporine,st. john's wort
Cyproheptadine,alcohol
Cyproterone acetate,alcohol
Dabigatran,anticoagulant herbs
Dabigatran,garlic
Dabigatran,ginger
Dabigatran,ginkgo biloba
