drug_id,drug_name,smiles
2179,Clorazepate,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O
2180,Tetrahydrocannabinol,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O
2181,CID 25200315,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Fe+5]
2182,Heroin,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C
2183,"5,8,14-Triazatetracyclo[10.3.1.02,11.04,9]hexadeca-2,4,6,8,10-pentaene",C1C2CNCC1C3=CC4=NC=CN=C4C=C23
2184,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
2185,Allopregnanolone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
2186,Sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F
2187,"7-Chloro-2-(methylimino)-5-phenyl-2,3-dihydro-4H-1,4-benzodiazepin-4-ol",CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
2188,Prilosec,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
2189,Trimethylpsoralen,CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C
2190,Hexopyranosyl-(1->6)hexopyranosyl-(1->6)hexose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O
2191,Hexachlorocyclohexane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
2192,Desmethylsertraline,C1C[C@@H](C2=CC=CC=C2[C@@H]1C3=CC(=C(C=C3)Cl)Cl)N
2193,Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
2194,4-Methylpyrazole,CC1=CNN=C1
2195,Metamizole,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O
2196,2-O-Sulfohexopyranuronosyl-(1->4)-2-deoxy-3-O-sulfo-2-(sulfoamino)hexopyranosyl-(1->4)-2-O-sulfohexopyranuronosyl-(1->4)-2-acetamido-2-deoxy-6-O-sulfohexopyranose,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
2197,Chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
2198,Heparin Pentasaccharide,CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COS(=O)(=O)O)O)O)NS(=O)(=O)O)O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O)NS(=O)(=O)O
2199,"1-(2,2-Difluoro-1,3-benzodioxol-5-yl)-N-(1-((2R)-2,3-dihydroxypropyl)-6-fluoro-2-(2-hydroxy-1,1-dimethylethyl)-1H-indol-5-yl)cyclopropanecarboxamide",CC(C)(CO)C1=CC2=CC(=C(C=C2N1C[C@H](CO)O)F)NC(=O)C3(CC3)C4=CC5=C(C=C4)OC(O5)(F)F
2200,Npc209773,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
2201,"Aspidospermidine-3-carboxylic acid, 4-(acetyloxy)-6,7-didehydro-15-((2R,4R,6S,8S)-4-(1,1-difluoroethyl)-1,3,4,5,6,7,8,9-octahydro-8-(methoxycarbonyl)-2,6-methano-2H-azecino(4,3-b)indol-8-yl)-3-hydroxy-16-methoxy-1-methyl-, methyl ester, (2beta,3beta,4beta,5alpha,12R,19alpha)-",CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(C[C@@H]7C[C@H](CN(C7)CC8=C6NC9=CC=CC=C89)C(C)(F)F)C(=O)OC)OC)C
2202,Tyramine,C1=CC(=CC=C1CCN)O
2203,Indinavir Sulfate,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5.OS(=O)(=O)O
2204,8-Methoxypsoralen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
2205,(+-)-Trimeprazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C
2206,2-Amino-5-phenyl4(5H)-oxazolone,C1=CC=C(C=C1)C2C(=O)N=C(O2)N
2207,Deutetrabenazine (USAN/INN),[2H]C([2H])([2H])OC1=C(C=C2[C@H]3CC(=O)[C@@H](CN3CCC2=C1)CC(C)C)OC([2H])([2H])[2H]
