food_id,food_name,smiles
512,D-Aspartic Acid,C([C@H](C(=O)O)N)C(=O)O
513,Palmitic Acid,CCCCCCCCCCCCCCCC(=O)O
514,D-Glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
515,Naringenin,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
516,L-Leucine,CC(C)C[C@@H](C(=O)O)N
517,L-Arginine,C(C[C@@H](C(=O)O)N)CN=C(N)N
518,Epsilon-Polylysine,CCCCCC(C(=O)NC)N
28,L-Ascorbic Acid,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
519,D-Fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
520,L-Serine,C([C@@H](C(=O)O)N)O
521,Nitrogen,N#N
522,L-Proline,C1C[C@H](NC1)C(=O)O
523,Ethanol,CCO
524,"1-Methyl-4-(6-methylhept-6-en-2-yl)cyclohexa-1,4-diene",CC1=CCC(=CC1)C(C)CCCC(=C)C
514,Beta-D-Glucose,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
525,(-)-alpha-Curcumene,CC1=CC=C(C=C1)[C@H](C)CCC=C(C)C
526,Curcumenol,C[C@H]1CC[C@@H]2[C@]13CC(=C(C)C)[C@](O3)(C=C2C)O
527,Ethinylestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
528,L-Arabinose,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
529,(-)-Zingiberene,CC1=CC[C@@H](C=C1)[C@@H](C)CCC=C(C)C
525,Curcumene,CC1=CC=C(C=C1)C(C)CCC=C(C)C
530,Turmerone,CC1=CCC(=CC1)[C@@H](C)CC(=O)C=C(C)C
531,Curzerenone,CC1=COC2=C1C(=O)[C@@H]([C@@](C2)(C)C=C)C(=C)C
532,"1,8-Cineole",CC1(C2CCC(O1)(CC2)C)C
533,Malic Acid,C(C(C(=O)O)O)C(=O)O
534,beta-Lactose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
535,Phosphine,[P]
536,Deae-cellulose,C(C1[C@H](C(C(C(O1)O)O)O)O[C@H]2C(C(C(C(O2)CO)O)O)O)O
537,Nitrate,[N+](=O)([O-])[O-]
538,Nicotinic Acid,C1=CC(=CN=C1)C(=O)O
512,L-Aspartic Acid,C([C@@H](C(=O)O)N)C(=O)O
539,L-Glutamic Acid,C(CC(=O)O)[C@@H](C(=O)O)N
540,"4-((3,3-Dimethyloxiran-2-Yl)Methoxy)Furo(3,2-G)Chromen-7-One",CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C
541,Citric Acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
542,L-Tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
543,Npc214502,CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)O)O)O)O)O
544,(-)-Asparagine,C([C@@H](C(=O)O)N)C(=O)N
545,beta-Maltose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
546,Oxalic Acid,C(=O)(C(=O)O)O
547,Rutin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
548,Hydrogen Sulfide,[S]
549,"2,3-Dihydroxybutanedioic Acid",C(C(C(=O)O)O)(C(=O)O)O
550,Xanthyletin,CC1(C=CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)C
551,Succinic Acid,C(CC(=O)O)C(=O)O
552,2-Oxoglutaric Acid,C(CC(=O)O)C(=O)C(=O)O
553,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,CC1=CCC(CC1)C(=C)C
554,Elemol,CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O
555,Xanthoxyletin,CC1(C=CC2=C(O1)C=C3C(=C2OC)C=CC(=O)O3)C
556,L-Lysine,C(CCN)C[C@@H](C(=O)O)N
557,alpha-D-Mannan,C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@H]([C@H]3O)O)O[C@H]4[C@H](O[C@H]([C@H]([C@H]4O)O)O)CO)CO)CO)O)O)O)O
558,L-Histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N
559,Pyrrolidine,C1CCNC1
560,L-Threonine,C[C@H]([C@@H](C(=O)O)N)O
561,Citronellol,CC(CCC=C(C)C)CCO
562,Zingiberol,C[C@]12CCCC(=C)C1C[C@@H](CC2)C(C)(C)O
563,L-Tyrosine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
564,Delphinidin 3-O-glucoside cation,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
565,Decanoic Acid,CCCCCCCCCC(=O)O
566,Raffinose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O
567,"2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-1-Benzopyrylium",C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
568,beta-Sesquiphellandrene,C[C@@H](CCC=C(C)C)[C@H]1CCC(=C)C=C1
569,Delphinidin Chloride,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-]
570,L-Alanine,C[C@@H](C(=O)O)N
571,L-Methionine,CSCC[C@@H](C(=O)O)N
572,Petunidin 3-Glucoside,COC1=CC(=CC(=C1O)O)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
573,Delphinidin 3-galactoside,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O.[Cl-]
574,(+)-Ursolic Acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
575,L-Isoleucine,CC[C@H](C)[C@@H](C(=O)O)N
576,Camphene,CC1(C2CCC(C2)C1=C)C
577,Glycine,C(C(=O)O)N
578,Quinate,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O
579,Genistin,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
580,Daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
581,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O
582,Fluoride Ion,[F-]
583,Magnesium ion,[Mg+2]
584,Choline,C[N+](C)(C)CCO
585,Catechin,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
586,Malonylgenistin,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)O)O)O)O)O
587,(-)-beta-Sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
588,6'-Sialyllactose,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O
534,alpha-D-lactose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
589,Sulfide ion,[S-2]
590,Chlorine,ClCl
591,Phosphate,[O-]P(=O)([O-])[O-]
592,Copper,[Cu]
