w_lgn,w_mech,concordance_bonus,total_pairs,high_count,medium_count,low_count,insufficient_count,recall_high,recall_medium,recall_low,recall_insufficient,actionable_rate,avg_fusion_score,min_fusion_score,max_fusion_score,std_fusion_score
0.4,0.6,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7862,0.0012,1.0,0.2603
0.4,0.6,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7866,0.0012,1.0,0.2597
0.4,0.6,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7871,0.0012,1.0,0.2592
0.4,0.6,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7875,0.0012,1.0,0.2587
0.4,0.6,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.788,0.0012,1.0,0.2581
0.5,0.5,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.793,0.0012,1.0,0.252
0.5,0.5,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7934,0.0012,1.0,0.2516
0.5,0.5,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7938,0.0012,1.0,0.2512
0.5,0.5,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7942,0.0012,1.0,0.2508
0.5,0.5,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7946,0.0012,1.0,0.2504
0.55,0.45,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7965,0.0012,1.0,0.2484
0.55,0.45,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7968,0.0012,1.0,0.2481
0.55,0.45,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7971,0.0012,1.0,0.2478
0.55,0.45,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7975,0.0012,1.0,0.2474
0.55,0.45,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7978,0.0012,1.0,0.2471
0.6,0.4,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.7999,0.0012,1.0,0.2452
0.6,0.4,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8002,0.0012,1.0,0.245
0.6,0.4,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8005,0.0012,1.0,0.2447
0.6,0.4,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8008,0.0012,1.0,0.2444
0.6,0.4,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8011,0.0012,1.0,0.2442
0.65,0.35,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8033,0.0012,1.0,0.2425
0.65,0.35,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8036,0.0012,1.0,0.2423
0.65,0.35,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8039,0.0012,1.0,0.2421
0.65,0.35,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8041,0.0012,1.0,0.2418
0.65,0.35,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8044,0.0012,1.0,0.2416
0.7,0.3,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8068,0.0012,1.0,0.2401
0.7,0.3,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.807,0.0012,1.0,0.24
0.7,0.3,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8072,0.0012,1.0,0.2398
0.7,0.3,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8075,0.0012,1.0,0.2397
0.7,0.3,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8077,0.0012,1.0,0.2395
0.8,0.2,0.01,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8136,0.0012,1.0,0.2368
0.8,0.2,0.02,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8138,0.0012,1.0,0.2367
0.8,0.2,0.03,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.814,0.0012,1.0,0.2366
0.8,0.2,0.04,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8141,0.0012,1.0,0.2365
0.8,0.2,0.05,889,517,288,50,34,0.5816,0.324,0.0562,0.0382,0.9055,0.8143,0.0012,1.0,0.2365
