new_id,name,smiles
1,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2,Calcium,[Ca]
11,Folic Acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
18,Iron,[Fe]
20,Magnesium,[Mg]
22,Potassium,[K]
25,Sodium,[Na]
26,Vitamin B Complex,
27,Vitamin C,C(C(C1C(=C(C(=O)O1)O)O)O)O
28,Vitamin D,
29,Vitamin E,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
30,Vitamin K2,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
31,Zinc,[Zn]
32,Carvone,CC1=CCC(CC1=O)C(=C)C
33,Acetic Acid,CC(=O)O
56,Auraptene,CC(=CCCC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C)C
62,Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
75,Cirsium Chanroenicum,
77,Caffeic Acid,C1=CC(=C(C=C1C=CC(=O)O)O)O
80,Capsaicin,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
85,Chelerythrine,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5
86,Chelidonine,CN1CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6
87,Chenopodium,
94,Thistle,
102,Coconut Flower Sap,
107,Common Sage,
108,Common Valerian,
110,Cone Flower,
113,Corilagin,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O
115,Corni,
118,Crataegi,
119,Crataegus,
120,Cucumis Melo,
121,Cucurbita Andreana,
124,Cyanidin,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
125,Cyperus Rotundus,
126,D. Edulis,
128,Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
132,Damnacanthal,COC1=C2C(=CC(=C1C=O)O)C(=O)C3=CC=CC=C3C2=O
134,Daucus Carota,
135,Dehydroepiandrosterone,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
136,Delphinidin,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
138,Dioscin,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
140,Dioscorea Nipponica Makino,
141,Dioscoreae Rhizoma,
144,Evodia Rutaecarpa,
145,Falcarinol,CCCCCCCC=CCC#CC#CC(C=C)O
147,Foeniculum Vulgare,
149,Ff-D,
151,Fish Flakes Supplemented With The Diatom Thalassiosira Weissflogii,
153,Folic,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
154,Folinic Acid,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
155,Folinic Acids,
160,Gallic Acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
162,Garcinol,CC(=CCC1CC2(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C(=O)C(C2=O)(C1(C)C)CC=C(C)C)CC(CC=C(C)C)C(=C)C)C
164,Gegen,
166,Ginsenoside Rg1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C
170,Guineense Swartz,
171,Guttiferae,
184,L. Usitatissimum,
186,Laurus Nobilis L,
187,Lavandula Burnetii,
189,Soy Lecithin,
192,Lepidium Sativum,
194,Linalool,CC(=CCCC(C)(C=C)O)C
196,Luffa,
197,Lutein,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
198,Lycii,
199,M. Parviflora,
200,Macrotyloma Uniflorum,
201,Malus,
202,Malva Parviflora,
203,Malva Sylvestris,
204,Malvidin,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
205,Malβg,
206,Manganese,[Mn]
207,Mangifera Indica,
208,Mangosteen,
209,Marula,
211,Mentha Piperita,
213,Morinda Citrifolia Linn.,
214,Moringa Oleifera,
215,Morus,
216,Morus Alba L-H2O,
217,Muscadine Grapes,
218,Mustard,C(CCl)SCCCl
219,Myo-Inositol,C1(C(C(C(C(C1O)O)O)O)O)O
221,Neferine,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC
222,Nelumbo Nucifera Gaertn,
223,Nelumbonucifera,
